modelo,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,fit_seconds,inference_seconds
Regresion_Logistica,0.45213422173219625,0.47125642796837824,0.49812734082397003,0.6584158415841584,0.5671641791044776,202,0.515695067264574,0.5693069306930693,0.5411764705882353,202,0.37209302325581395,0.18604651162790697,0.24806201550387597,172,0.05529010000464041,0.0028950000123586506
SVM_RBF,0.4366060190084217,0.454179138844117,0.5062240663900415,0.6039603960396039,0.5507900677200903,202,0.49372384937238495,0.5841584158415841,0.5351473922902494,202,0.3125,0.1744186046511628,0.22388059701492538,172,0.9938926000031643,0.20682329998817295
Random_Forest,0.4172457232698197,0.41918029012203545,0.48826291079812206,0.5148514851485149,0.5012048192771085,202,0.4682926829268293,0.4752475247524752,0.47174447174447176,202,0.2911392405063291,0.26744186046511625,0.2787878787878788,172,12.227514499987592,0.09302040000329725
Persistencia,0.4092073182130144,0.4090682324046358,0.485,0.4801980198019802,0.48258706467661694,202,0.4482758620689655,0.4504950495049505,0.44938271604938274,202,0.2947976878612717,0.29651162790697677,0.2956521739130435,172,,
XGBoost,0.3909902192719528,0.3911274848415074,0.4739583333333333,0.4504950495049505,0.4619289340101523,202,0.42790697674418604,0.45544554455445546,0.4412470023980815,202,0.27218934911242604,0.26744186046511625,0.2697947214076246,172,4.535274399997434,0.013789100004942156
MLP,0.3816030799214544,0.38903599662291805,0.4604651162790698,0.4900990099009901,0.4748201438848921,202,0.41702127659574467,0.48514851485148514,0.448512585812357,202,0.2619047619047619,0.19186046511627908,0.2214765100671141,172,4.109554800001206,0.003178200000547804
Dummy,0.17309340188517566,0.3333333333333333,0.3506944444444444,1.0,0.519280205655527,202,0.0,0.0,0.0,202,0.0,0.0,0.0,172,,
