variable,lag,referencia_temporal,n_comparable,mutual_information_target_clase,spearman_target_rx5day,abs_spearman_target_rx5day,es_mismo_mes_anio_anterior_del_objetivo
prcptot_mm,0,t,3732,0.30115846646946953,0.7304049115898229,0.7304049115898229,False
prcptot_mm,1,t-1,3732,0.13188120917104085,0.5269999153654004,0.5269999153654004,False
prcptot_mm,2,t-2,3732,0.07325274971555662,0.33369377121024046,0.33369377121024046,False
prcptot_mm,3,t-3,3732,0.008679685393356618,0.18017630639942084,0.18017630639942084,False
prcptot_mm,4,t-4,3732,0.002467317275262282,0.06660110868940133,0.06660110868940133,False
prcptot_mm,5,t-5,3732,0.013836008835283575,0.03336547413283842,0.03336547413283842,False
prcptot_mm,6,t-6,3732,0.02019168117405412,0.07270059097397698,0.07270059097397698,False
prcptot_mm,7,t-7,3732,0.03146464811186056,0.16203594915177041,0.16203594915177041,False
prcptot_mm,8,t-8,3732,0.048628426012304216,0.3002967049437048,0.3002967049437048,False
prcptot_mm,9,t-9,3732,0.13410622996856114,0.46744219950365234,0.46744219950365234,False
prcptot_mm,10,t-10,3732,0.20357083728516323,0.6282816526050375,0.6282816526050375,False
prcptot_mm,11,t-11,3732,0.2774114799578822,0.7057767483966955,0.7057767483966955,True
prcptot_mm,12,t-12,3732,0.19471163140927006,0.6159482873933567,0.6159482873933567,False
rx1day_mm,0,t,3732,0.2172902339560796,0.6726449962898561,0.6726449962898561,False
rx1day_mm,1,t-1,3732,0.11457816433688084,0.49489265957497347,0.49489265957497347,False
rx1day_mm,2,t-2,3732,0.03772174662345784,0.3185310367831027,0.3185310367831027,False
rx1day_mm,3,t-3,3732,0.022477993275939356,0.17082716130424275,0.17082716130424275,False
rx1day_mm,4,t-4,3732,0.002932861898181649,0.058783590264930095,0.058783590264930095,False
rx1day_mm,5,t-5,3732,0.011627771859295422,0.014224397731840449,0.014224397731840449,False
rx1day_mm,6,t-6,3732,0.004423025824908056,0.03607598076153543,0.03607598076153543,False
rx1day_mm,7,t-7,3732,0.013956812879770464,0.12997167115551134,0.12997167115551134,False
rx1day_mm,8,t-8,3732,0.019843679144063042,0.26017144549034904,0.26017144549034904,False
rx1day_mm,9,t-9,3732,0.09636736482989594,0.41608907464740397,0.41608907464740397,False
rx1day_mm,10,t-10,3732,0.17297463267423185,0.5683233742519597,0.5683233742519597,False
rx1day_mm,11,t-11,3732,0.2300109140301474,0.6401876133314813,0.6401876133314813,True
rx1day_mm,12,t-12,3732,0.16114827244403296,0.5686044923666895,0.5686044923666895,False
rx5day_mm,0,t,3732,0.24282812626247852,0.7056693525778075,0.7056693525778075,False
rx5day_mm,1,t-1,3732,0.134578375994298,0.5133077686283569,0.5133077686283569,False
rx5day_mm,2,t-2,3732,0.054130372620135425,0.32634821791130486,0.32634821791130486,False
rx5day_mm,3,t-3,3732,0.016736850549757598,0.17351729094745294,0.17351729094745294,False
rx5day_mm,4,t-4,3732,0.005686102171068352,0.06538030726459412,0.06538030726459412,False
rx5day_mm,5,t-5,3732,0.008185764799468753,0.026600725478883463,0.026600725478883463,False
rx5day_mm,6,t-6,3732,0.0,0.05687959345605165,0.05687959345605165,False
rx5day_mm,7,t-7,3732,0.01756137061069385,0.1513154907978335,0.1513154907978335,False
rx5day_mm,8,t-8,3732,0.047709893367018585,0.29063922516013163,0.29063922516013163,False
rx5day_mm,9,t-9,3732,0.09443959836579574,0.45681709273103743,0.45681709273103743,False
rx5day_mm,10,t-10,3732,0.19768510303542342,0.6136392390537629,0.6136392390537629,False
rx5day_mm,11,t-11,3732,0.2628931262007457,0.685235943599464,0.685235943599464,True
rx5day_mm,12,t-12,3732,0.1949204541316596,0.6003943719997274,0.6003943719997274,False
wet_days,0,t,3732,0.16500420571124863,0.5792655150188716,0.5792655150188716,False
wet_days,1,t-1,3732,0.10543182781608107,0.42598643366571215,0.42598643366571215,False
wet_days,2,t-2,3732,0.03801318761107786,0.2710884888434071,0.2710884888434071,False
wet_days,3,t-3,3732,0.012778509497808344,0.1679774048605427,0.1679774048605427,False
wet_days,4,t-4,3732,0.0,0.0829321084420955,0.0829321084420955,False
wet_days,5,t-5,3732,0.01901731417524566,0.07487645024562138,0.07487645024562138,False
wet_days,6,t-6,3732,0.01920238823270548,0.12125722739919961,0.12125722739919961,False
wet_days,7,t-7,3732,0.018332579685397477,0.18432065100428416,0.18432065100428416,False
wet_days,8,t-8,3732,0.06133270912810662,0.2936159252607377,0.2936159252607377,False
wet_days,9,t-9,3732,0.09226451854583018,0.41404169820216014,0.41404169820216014,False
wet_days,10,t-10,3732,0.165948568204195,0.5218390737138955,0.5218390737138955,False
wet_days,11,t-11,3732,0.1673969609755348,0.5701124484464783,0.5701124484464783,True
wet_days,12,t-12,3732,0.12178905116807548,0.48741723342530774,0.48741723342530774,False
r10mm_days,0,t,3732,0.2616219842922114,0.6955546883670766,0.6955546883670766,False
r10mm_days,1,t-1,3732,0.13180859778212572,0.5001731845049141,0.5001731845049141,False
r10mm_days,2,t-2,3732,0.038014292987341936,0.3172544098638894,0.3172544098638894,False
r10mm_days,3,t-3,3732,0.0,0.1619841809274766,0.1619841809274766,False
r10mm_days,4,t-4,3732,0.0,0.04992970030661673,0.04992970030661673,False
r10mm_days,5,t-5,3732,0.007041490514891002,0.016275395651068773,0.016275395651068773,False
r10mm_days,6,t-6,3732,0.0016514297434442327,0.04591168216453959,0.04591168216453959,False
r10mm_days,7,t-7,3732,0.01716040470410851,0.1336162598831223,0.1336162598831223,False
r10mm_days,8,t-8,3732,0.025066945497807636,0.2676087415048001,0.2676087415048001,False
r10mm_days,9,t-9,3732,0.10480222469193423,0.43490291428023264,0.43490291428023264,False
r10mm_days,10,t-10,3732,0.17322156272879852,0.5957643820889429,0.5957643820889429,False
r10mm_days,11,t-11,3732,0.2567052409795325,0.6704560658512315,0.6704560658512315,True
r10mm_days,12,t-12,3732,0.18791911337074274,0.5850297009993558,0.5850297009993558,False
r20mm_days,0,t,3732,0.1859668970368229,0.6081135759595537,0.6081135759595537,False
r20mm_days,1,t-1,3732,0.08834407995505544,0.4449508169186968,0.4449508169186968,False
r20mm_days,2,t-2,3732,0.02536314763404568,0.2822355252827046,0.2822355252827046,False
r20mm_days,3,t-3,3732,0.0,0.14910042123826156,0.14910042123826156,False
r20mm_days,4,t-4,3732,0.0,0.05206175074930292,0.05206175074930292,False
r20mm_days,5,t-5,3732,0.005209076139460755,0.02489964270502611,0.02489964270502611,False
r20mm_days,6,t-6,3732,0.0,0.039753344334824144,0.039753344334824144,False
r20mm_days,7,t-7,3732,0.0,0.11920398981130734,0.11920398981130734,False
r20mm_days,8,t-8,3732,0.010715625621385616,0.2206290674776555,0.2206290674776555,False
r20mm_days,9,t-9,3732,0.06014476296226534,0.3618183572995817,0.3618183572995817,False
r20mm_days,10,t-10,3732,0.10961292242345677,0.505155188023114,0.505155188023114,False
r20mm_days,11,t-11,3732,0.143457275614973,0.5644500571993718,0.5644500571993718,True
r20mm_days,12,t-12,3732,0.11111606335507762,0.5025914819951949,0.5025914819951949,False
sdii_mm_per_wet_day,0,t,3732,0.24622420767058495,0.6746448440411617,0.6746448440411617,False
sdii_mm_per_wet_day,1,t-1,3732,0.11323392295174672,0.4835761114726303,0.4835761114726303,False
