mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.6889368891716003,0.14472418042217944,0.11116760969161987,0.030149470548043823,1,scale,10,"{'model__C': 1, 'model__gamma': 'scale', 'preprocess__num__selector__k': 10}",0.673006692093829,0.6820497057312314,0.732043911415699,0.6758809256202292,0.6907453087152471,0.024066556155287896,7
0.7345780730247498,0.16480456145212885,0.11539769172668457,0.03134437272979927,1,scale,15,"{'model__C': 1, 'model__gamma': 'scale', 'preprocess__num__selector__k': 15}",0.663140835821136,0.6591303461686033,0.7262436417883174,0.680730541212469,0.6823113412476315,0.02663368530033694,14
0.7722362279891968,0.17581360848966016,0.11504566669464111,0.028102093350564794,1,scale,20,"{'model__C': 1, 'model__gamma': 'scale', 'preprocess__num__selector__k': 20}",0.6819835291758013,0.6707508641229571,0.727384400791883,0.682828883197299,0.6907369193219851,0.02168893251698752,8
0.8197611570358276,0.22334857648249218,0.12471175193786621,0.034860420597572134,1,scale,25,"{'model__C': 1, 'model__gamma': 'scale', 'preprocess__num__selector__k': 25}",0.6795644801566462,0.6915125787218811,0.7335747618416991,0.686594373689156,0.6978115486023456,0.021079996220668543,4
0.849496603012085,0.16303571172534895,0.12503713369369507,0.021122632764737248,1,scale,all,"{'model__C': 1, 'model__gamma': 'scale', 'preprocess__num__selector__k': 'all'}",0.7076822107313293,0.7061813306937629,0.7398540054171453,0.7039770092095674,0.7144236390129513,0.014741252587596848,3
0.7649278044700623,0.14459705854746904,0.10646450519561768,0.02721166234317659,1,0.05,10,"{'model__C': 1, 'model__gamma': 0.05, 'preprocess__num__selector__k': 10}",0.6683458708430962,0.6795870895333261,0.7307615139078888,0.6775130501752917,0.6890518811149007,0.024449740429284238,9
0.7760117650032043,0.14620057203826817,0.10495823621749878,0.02159174968874608,1,0.05,15,"{'model__C': 1, 'model__gamma': 0.05, 'preprocess__num__selector__k': 15}",0.6680434145854909,0.6592242701778828,0.7267778616314874,0.6785958543912601,0.6831603501965302,0.02609971070080256,12
0.7909113764762878,0.19181826194553392,0.1099097728729248,0.028549138893568856,1,0.05,20,"{'model__C': 1, 'model__gamma': 0.05, 'preprocess__num__selector__k': 20}",0.6846363365259721,0.6731636347034907,0.727384400791883,0.6827873662108782,0.6919929345580561,0.020892345717950594,6
0.8484623432159424,0.1991429559623427,0.11689388751983643,0.027914322819441374,1,0.05,25,"{'model__C': 1, 'model__gamma': 0.05, 'preprocess__num__selector__k': 25}",0.6847903128701298,0.6940176390669041,0.7289829422209936,0.6776769715519135,0.6963669664274852,0.019701878286383152,5
0.8462833762168884,0.19494265160314045,0.11828106641769409,0.03558738481570936,1,0.05,all,"{'model__C': 1, 'model__gamma': 0.05, 'preprocess__num__selector__k': 'all'}",0.7056793568361991,0.7044782101489676,0.7460157524021808,0.7190919110760774,0.7188163076158562,0.01671859943826587,1
0.7470773458480835,0.17954427244628568,0.09734749794006348,0.028008651924434802,10,scale,10,"{'model__C': 10, 'model__gamma': 'scale', 'preprocess__num__selector__k': 10}",0.6571588156965004,0.6868517839313731,0.7253235379503525,0.6743703475149116,0.6859261212732845,0.025070436122482356,10
0.818795382976532,0.18117859300463512,0.1024516224861145,0.025626914941488704,10,scale,15,"{'model__C': 10, 'model__gamma': 'scale', 'preprocess__num__selector__k': 15}",0.6592488877505526,0.6616900480474992,0.7161195597351502,0.6774340317471651,0.6786231318200918,0.022745805792982573,20
0.8680782318115234,0.19092005107424367,0.1142888069152832,0.026769214374149752,10,scale,20,"{'model__C': 10, 'model__gamma': 'scale', 'preprocess__num__selector__k': 20}",0.662875255689627,0.6842322491824687,0.7138080654764701,0.6599537046946984,0.680217318760816,0.021539609663313294,18
0.902145504951477,0.2454778107770828,0.11399394273757935,0.03318013002288384,10,scale,25,"{'model__C': 10, 'model__gamma': 'scale', 'preprocess__num__selector__k': 25}",0.682291970659218,0.6602995580547939,0.7042701824929066,0.6746914676008212,0.680388294701935,0.01589008909437791,17
0.8986483216285706,0.24084422423808619,0.11110401153564453,0.03366254682808064,10,scale,all,"{'model__C': 10, 'model__gamma': 'scale', 'preprocess__num__selector__k': 'all'}",0.7042955184270158,0.7020136635605483,0.743598864831108,0.7183991965793007,0.7170768108494932,0.01654862451730821,2
