mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.359521210193634,0.20081010456562184,0.03891170024871826,0.02143138762083462,0.03,3,10,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'preprocess__num__selector__k': 10}",0.6583809362150252,0.6773714499731671,0.7024289661429336,0.6781446223492585,0.6790814936700961,0.01563185471351535,8
2.645938217639923,0.26393233842528463,0.026962578296661377,0.0017155328994807224,0.03,3,15,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'preprocess__num__selector__k': 15}",0.6511999111999112,0.6743012727274249,0.7131872008062484,0.6766547802051571,0.6788357912346854,0.022187157727237825,9
2.678511619567871,0.19561235068793745,0.0251692533493042,0.0036035809816126864,0.03,3,20,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'preprocess__num__selector__k': 20}",0.6759407301576993,0.6836572027966796,0.7004346445814958,0.6780939949887607,0.6845316431311589,0.009603608701301603,5
3.2580456137657166,0.20443694388340902,0.03438401222229004,0.006409220486504563,0.03,3,25,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'preprocess__num__selector__k': 25}",0.6621057629829559,0.675350138131538,0.7091582435494309,0.6713973535835884,0.6795028745618783,0.01778373618834599,7
4.354838728904724,0.21788743152528026,0.04696238040924072,0.005294118952032727,0.03,3,all,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'preprocess__num__selector__k': 'all'}",0.6996303812313608,0.6892324442724295,0.7108018371921304,0.7219560168705422,0.7054051698916157,0.012226608193775345,2
5.754988431930542,0.4437469282858043,0.08436846733093262,0.005356837307207335,0.03,6,10,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'preprocess__num__selector__k': 10}",0.6581029571977411,0.6959135993578718,0.7036644035764431,0.6732113490566559,0.682723077297178,0.018091104902689944,6
8.045818269252777,0.8202370658958396,0.0886191725730896,0.024705381305371085,0.03,6,15,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'preprocess__num__selector__k': 15}",0.6497595615053894,0.6814187610881447,0.7042548999231909,0.671117394189435,0.67663765417654,0.01961170812228817,11
8.612124919891357,0.5034014053814927,0.07972413301467896,0.012595108842407676,0.03,6,20,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'preprocess__num__selector__k': 20}",0.6517253900449616,0.6805594557349387,0.6831905412763498,0.6718925330796872,0.6718419800339843,0.012343662070728153,14
10.470329225063324,0.3449820300458568,0.0638687014579773,0.01726384827050178,0.03,6,25,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'preprocess__num__selector__k': 25}",0.645949996148183,0.6862269618367178,0.6921979013957366,0.6576834120359676,0.6705145678541512,0.01926851720337605,15
13.030044317245483,0.5601265241377137,0.08590000867843628,0.025261374062910593,0.03,6,all,"{'model__learning_rate': 0.03, 'model__max_depth': 6, 'preprocess__num__selector__k': 'all'}",0.6889861416158083,0.7133197648578274,0.7011169733044733,0.7013605834741506,0.7011958658130649,0.008603773139681989,3
