mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3.170723259449005,0.43373953456030845,0.08014613389968872,0.009165495466385619,,1,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 10}",0.6709330484330485,0.6889600330499205,0.7107895448524723,0.6729039534657995,0.6858966449503101,0.015982490927034645,13
3.6617950797080994,0.5273887189170479,0.07674521207809448,0.008606742173640778,,1,15,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 15}",0.6617460576696246,0.6785965679319009,0.7085798326290496,0.6676788676788677,0.6791503314773607,0.01803403324658907,19
3.6386309266090393,0.7682174299912478,0.10178959369659424,0.025284883573625516,,1,20,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 20}",0.6666836434048662,0.6937143349942936,0.7168665652188765,0.6828525239619551,0.6900292668949979,0.018236941105152976,9
4.312305748462677,0.9240474363158658,0.08766859769821167,0.02444359083853173,,1,25,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 25}",0.6810958879503518,0.6804795819242497,0.7247467742365612,0.6815431990348708,0.6919663607865084,0.01892954750627477,6
4.6718321442604065,0.5143856392260363,0.08680438995361328,0.016884791261052395,,1,all,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 'all'}",0.6875968504574703,0.6926792577640833,0.7278120592544349,0.6958998818794219,0.7009970123388526,0.01576211327534068,2
3.1330249905586243,0.8443919423508427,0.07067215442657471,0.005806336719686201,,3,10,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 10}",0.6621911449528297,0.6870855920036248,0.7214105497858357,0.6770418088767998,0.6869322739047725,0.021787150883355286,11
3.276572048664093,0.5246181479369594,0.07317739725112915,0.005761497066927271,,3,15,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 15}",0.6594313842020264,0.6824589164197308,0.7092999025402635,0.677789660846471,0.6822449660021229,0.017834829859320812,18
3.467535614967346,0.8961304106150473,0.07432925701141357,0.006142095027319494,,3,20,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 20}",0.6810325226227284,0.6842493036679084,0.7146901215687719,0.6821939668945367,0.6905414786884864,0.01398972496209087,7
3.9343239665031433,0.40616884098333567,0.07337510585784912,0.0036635785695529567,,3,25,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 25}",0.6695747906141188,0.6739914111141175,0.7184160715918608,0.6785291078485217,0.6851278452921548,0.019477981299727765,14
4.488821566104889,1.0789135578939848,0.07571256160736084,0.010676096809818974,,3,all,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 'all'}",0.6852471200297288,0.6771518564331688,0.7270354416415077,0.7042577873959607,0.6984230513750914,0.01922746682656043,3
3.1662821769714355,0.472479199441205,0.0771058201789856,0.006636466570378181,18,1,10,"{'model__max_depth': 18, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 10}",0.6693302451264235,0.6956898589022629,0.705908210967682,0.66756105006105,0.6846223412643546,0.01658699835344031,16
3.5068219900131226,0.5026261352990986,0.07689958810806274,0.0032425301185674215,18,1,15,"{'model__max_depth': 18, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 15}",0.6557606436196712,0.6781823131079664,0.7023323026440336,0.6710870286806196,0.6768405720130727,0.016801006232340248,20
3.6216755509376526,0.39949632928239603,0.07725906372070312,0.004158674282829974,18,1,20,"{'model__max_depth': 18, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 20}",0.6626222552828058,0.6939040438368137,0.705896072548026,0.6843139055282276,0.6866840692989682,0.015857314331385566,12
3.826790511608124,0.6561314905431218,0.07773369550704956,0.008421118827972895,18,1,25,"{'model__max_depth': 18, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 25}",0.6882932911674721,0.6909615597027307,0.7241570104281672,0.683904176675001,0.6968290094933427,0.01597776887475067,5
4.396387040615082,0.8499549394539822,0.08183044195175171,0.009592601381528584,18,1,all,"{'model__max_depth': 18, 'model__min_samples_leaf': 1, 'preprocess__num__selector__k': 'all'}",0.6906647944874983,0.6823391812865497,0.7217480722077108,0.7100973789653969,0.7012123567367889,0.015557209348752835,1
3.003728687763214,0.6515694731907242,0.07232892513275146,0.0074137005652292745,18,3,10,"{'model__max_depth': 18, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 10}",0.66443679886063,0.68006993006993,0.7084963374755677,0.6867185793347962,0.6849304114352309,0.015828477896152382,15
3.415441572666168,0.6438264180069528,0.06999999284744263,0.004504057260265257,18,3,15,"{'model__max_depth': 18, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 15}",0.6658770010290076,0.6831026264539105,0.703863264659138,0.6850971020209284,0.6844849985407461,0.013454185151923858,17
3.0981799960136414,0.4764167479890404,0.0703575611114502,0.002004391580997144,18,3,20,"{'model__max_depth': 18, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 20}",0.6833767218170888,0.6820991510508551,0.7105698539703015,0.6846207175271561,0.6901666110913504,0.011813506711224251,8
3.5126357078552246,0.5754685672544486,0.06517034769058228,0.0027928289941214763,18,3,25,"{'model__max_depth': 18, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 25}",0.6695116533001996,0.678602705449996,0.7210675920156575,0.6833506014267962,0.6881331380481623,0.01965413286308104,10
3.6610835194587708,0.588240262761555,0.07047450542449951,0.008024056973803291,18,3,all,"{'model__max_depth': 18, 'model__min_samples_leaf': 3, 'preprocess__num__selector__k': 'all'}",0.6807034059975151,0.6771518564331688,0.7249494949494949,0.7058251778230429,0.6971574838008054,0.019483881839109183,4
