modelo,macro_f1_media,macro_f1_std,balanced_accuracy_media,recall_alta_media,f1_alta_media,f1_media_media,f1_baja_media
Climatologia_zona_mes,0.7122811641088388,0.014749939031377573,0.7129511864357175,0.7150369599056859,0.7238678991546529,0.6003098956277007,0.8126656975441626
Persistencia,0.5904185395405437,0.016185138163241172,0.590300503310474,0.6166956859338908,0.6179734115480939,0.4332270968261986,0.7200551102473385
Climatologia_mes,0.45872221352566783,0.04097567321122796,0.5026440354423994,0.7276494540825341,0.595684777280865,0.17085237805358666,0.6096294852425518
Dummy_most_frequent,0.14905685391318446,0.010051832014118038,0.3333333333333333,0.25,0.10583941605839416,0.3413311456811592,0.0
