modelo,fold,macro_f1,balanced_accuracy,accuracy,precision_baja,recall_baja,f1_baja,precision_media,recall_media,f1_media,precision_alta,recall_alta,f1_alta,tiempo_fit_predict_seg
Logistic_Regression,1,0.696916029227365,0.7033810185692028,0.6990740740740741,0.7974683544303798,0.8456375838926175,0.8208469055374593,0.6530612244897959,0.5748502994011976,0.6114649681528662,0.6299212598425197,0.6896551724137931,0.6584362139917695,0.25201279999964754
Logistic_Regression,2,0.694954167169405,0.6931669090224046,0.6944444444444444,0.8226950354609929,0.7945205479452054,0.8083623693379791,0.5592105263157895,0.6115107913669064,0.584192439862543,0.7122302158273381,0.673469387755102,0.6923076923076923,0.2956923999990977
Logistic_Regression,3,0.7127532795471886,0.710818494745462,0.7175925925925926,0.8581560283687943,0.7756410256410257,0.8148148148148148,0.5352112676056338,0.5984251968503937,0.5650557620817844,0.7583892617449665,0.7583892617449665,0.7583892617449665,0.35692890000063926
Logistic_Regression,4,0.6821959835539668,0.681113520677088,0.6961805555555556,0.7810945273631841,0.7696078431372549,0.7753086419753087,0.47368421052631576,0.5225806451612903,0.49693251533742333,0.7990196078431373,0.7511520737327189,0.7743467933491687,0.4085677000002761
Random_Forest,1,0.6906647944874983,0.6914042777670764,0.6921296296296297,0.7884615384615384,0.825503355704698,0.8065573770491803,0.6219512195121951,0.6107784431137725,0.6163141993957704,0.6607142857142857,0.6379310344827587,0.6491228070175439,2.016341000002285
Random_Forest,2,0.6823391812865497,0.679676443357475,0.6805555555555556,0.8273381294964028,0.7876712328767124,0.8070175438596491,0.5341614906832298,0.6187050359712231,0.5733333333333334,0.7045454545454546,0.6326530612244898,0.6666666666666666,2.4346264000014344
Random_Forest,3,0.7217480722077108,0.7204400334057365,0.7291666666666666,0.8741258741258742,0.8012820512820513,0.8361204013377926,0.5447761194029851,0.5748031496062992,0.5593869731800766,0.7548387096774194,0.785234899328859,0.7697368421052632,2.9439952000029734
Random_Forest,4,0.7100973789653969,0.7090705099243998,0.71875,0.8532608695652174,0.7696078431372549,0.8092783505154639,0.5251396648044693,0.6064516129032258,0.562874251497006,0.7652582159624414,0.7511520737327189,0.7581395348837209,3.355625800002599
XGBoost,1,0.6808176348470326,0.6805464516465797,0.6828703703703703,0.7973856209150327,0.8187919463087249,0.8079470198675497,0.6071428571428571,0.6107784431137725,0.608955223880597,0.6396396396396397,0.6120689655172413,0.6255506607929515,1.49816120000105
XGBoost,2,0.7086921163835121,0.7054556522520312,0.7060185185185185,0.8333333333333334,0.7534246575342466,0.7913669064748201,0.5670731707317073,0.6690647482014388,0.6138613861386139,0.75,0.6938775510204082,0.7208480565371025,1.5553736000001663
XGBoost,3,0.7246696891911414,0.7231510877867163,0.7314814814814815,0.8707482993197279,0.8205128205128205,0.8448844884488449,0.5474452554744526,0.5905511811023622,0.5681818181818182,0.7635135135135135,0.7583892617449665,0.7609427609427609,1.664619399998628
XGBoost,4,0.7114181223251289,0.7110252703231831,0.7170138888888888,0.8611111111111112,0.7598039215686274,0.8072916666666666,0.5208333333333334,0.6451612903225806,0.5763688760806917,0.7745098039215687,0.728110599078341,0.7505938242280285,1.7471531000010145
SVM_RBF,1,0.7056793568361991,0.7086456570774212,0.7060185185185185,0.7884615384615384,0.825503355704698,0.8065573770491803,0.6496815286624203,0.6107784431137725,0.6296296296296297,0.6722689075630253,0.6896551724137931,0.6808510638297872,0.33883639999839943
SVM_RBF,2,0.7044782101489676,0.7008521223278575,0.7013888888888888,0.8507462686567164,0.7808219178082192,0.8142857142857143,0.5508982035928144,0.6618705035971223,0.6013071895424836,0.7404580152671756,0.6598639455782312,0.697841726618705,0.42648709999775747
SVM_RBF,3,0.7460157524021808,0.7438630057665095,0.7476851851851852,0.9051094890510949,0.7948717948717948,0.8464163822525598,0.564935064935065,0.6850393700787402,0.6192170818505338,0.7943262411347518,0.7516778523489933,0.7724137931034483,0.5460996000001614
SVM_RBF,4,0.7190919110760774,0.7187057618746423,0.7256944444444444,0.856353591160221,0.7598039215686274,0.8051948051948052,0.5291005291005291,0.6451612903225806,0.5813953488372093,0.7912621359223301,0.7511520737327189,0.7706855791962175,0.6644863000001351
MLP,1,0.6504381245916129,0.6570766128007812,0.6550925925925926,0.7607361963190185,0.8322147651006712,0.7948717948717948,0.6027397260273972,0.5269461077844312,0.5623003194888179,0.5772357723577236,0.6120689655172413,0.5941422594142259,2.154993899999681
MLP,2,0.6778565302563427,0.6769179009601936,0.6782407407407407,0.8068965517241379,0.8013698630136986,0.8041237113402062,0.5466666666666666,0.5899280575539568,0.5674740484429066,0.6861313868613139,0.6394557823129252,0.6619718309859155,1.6889010999984748
MLP,3,0.7057734541875647,0.7060396812814506,0.7175925925925926,0.8496732026143791,0.8333333333333334,0.8414239482200647,0.532258064516129,0.5196850393700787,0.5258964143426295,0.7354838709677419,0.7651006711409396,0.75,2.4845815999979095
MLP,4,0.678782074876162,0.6772311074967621,0.6892361111111112,0.824468085106383,0.7598039215686274,0.7908163265306123,0.48295454545454547,0.5483870967741935,0.513595166163142,0.7405660377358491,0.7235023041474654,0.7319347319347319,2.5775766000006115
