mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.7336198091506958,0.07949641930022296,0.010790526866912842,0.0013565025873182872,0.1,10,"{'model__C': 0.1, 'preprocess__num__selector__k': 10}",0.6632782895499366,0.6790370179984239,0.7145479664641647,0.6625717504944558,0.6798587561267453,0.02108179903981597,9
0.7197974324226379,0.08307412729939763,0.01407015323638916,0.0017179371158573921,0.1,15,"{'model__C': 0.1, 'preprocess__num__selector__k': 15}",0.6556193058057281,0.6653752819753106,0.7192008626383736,0.6563882587708758,0.6741459272975721,0.026293734583255686,15
0.7369688153266907,0.11113531660759624,0.012568175792694092,0.0012308654697901532,0.1,20,"{'model__C': 0.1, 'preprocess__num__selector__k': 20}",0.6657649885053041,0.6908540714726282,0.7211273421333821,0.6604287429530148,0.6845437862660823,0.02404347530316246,7
0.7664808630943298,0.08924635122955743,0.015192270278930664,0.0039891528965095135,0.1,25,"{'model__C': 0.1, 'preprocess__num__selector__k': 25}",0.6808071627406941,0.6927125132604585,0.7258821767379405,0.6590585838441702,0.6896151091458158,0.024166998481228264,4
0.5861848592758179,0.06455306602223812,0.010809540748596191,0.001499004012328707,0.1,all,"{'model__C': 0.1, 'preprocess__num__selector__k': 'all'}",0.696916029227365,0.694954167169405,0.7127532795471886,0.6821959835539668,0.6967048648744814,0.010853211316454095,1
0.5483114123344421,0.08144496123074488,0.010670959949493408,0.001149926945082012,1.0,10,"{'model__C': 1.0, 'preprocess__num__selector__k': 10}",0.6610968242760039,0.678795291847036,0.7150286739074166,0.66052357578462,0.6788610914537692,0.022135559736592137,11
0.5701087713241577,0.09775325194662665,0.010667920112609863,0.0011350648267640473,1.0,15,"{'model__C': 1.0, 'preprocess__num__selector__k': 15}",0.664871658157775,0.667437641723356,0.7277983883889529,0.6586317962445056,0.6796848711286474,0.027962333646627462,10
0.5940941572189331,0.106186509539226,0.009544134140014648,0.00035956980054509046,1.0,20,"{'model__C': 1.0, 'preprocess__num__selector__k': 20}",0.6591302096337189,0.6830520242284948,0.7158005503067469,0.6533502219080162,0.6778332515192442,0.024586448912593633,13
0.565380871295929,0.08005070221271793,0.01167142391204834,0.0010944002902776918,1.0,25,"{'model__C': 1.0, 'preprocess__num__selector__k': 25}",0.6821171195438215,0.6818422392480418,0.7275092840286059,0.6555481825554818,0.6867542063439878,0.025886397357067655,5
0.6023657321929932,0.08846242981918714,0.009911537170410156,0.0004104077199230601,1.0,all,"{'model__C': 1.0, 'preprocess__num__selector__k': 'all'}",0.6807662809819842,0.6946936205556895,0.7157315260021287,0.6877287045246862,0.6947300330161221,0.013086911448317778,3
0.6023980379104614,0.08851614763693887,0.01054537296295166,0.0003671609155357385,10.0,10,"{'model__C': 10.0, 'preprocess__num__selector__k': 10}",0.6564813884609947,0.6786030864870455,0.712836836156559,0.6648405362732634,0.6781904618444656,0.02150607990775465,12
0.615724503993988,0.07571808557916296,0.010557889938354492,0.0006256885550557272,10.0,15,"{'model__C': 10.0, 'preprocess__num__selector__k': 15}",0.6696497396143825,0.6741917572748862,0.7210049895462772,0.6581033467732079,0.6807374583021885,0.023976867939947574,8
0.6106879711151123,0.09140626655097997,0.00928187370300293,0.001841783531275382,10.0,20,"{'model__C': 10.0, 'preprocess__num__selector__k': 20}",0.6548553916874162,0.691079435358874,0.7089969331503752,0.6487041860709869,0.6759089865669131,0.02504151429642718,14
0.5796566009521484,0.045869523999677274,0.009418189525604248,0.0019649929651174834,10.0,25,"{'model__C': 10.0, 'preprocess__num__selector__k': 25}",0.6771098321806838,0.6858706188417006,0.7272063106258025,0.654749425957002,0.6862340469012972,0.026236382777255745,6
0.5363355875015259,0.03906499154039316,0.00762486457824707,0.001383377913264858,10.0,all,"{'model__C': 10.0, 'preprocess__num__selector__k': 'all'}",0.6763901168552832,0.694025697485905,0.7229468968795573,0.6883024970457181,0.6954163020666159,0.0171206700907524,2
