modelo,macro_f1_media,macro_f1_std,balanced_accuracy_media,accuracy_media,recall_alta_media,f1_alta_media,f1_media_media,f1_baja_media,tiempo_medio_fold_seg,tipo
SVM_RBF,0.7188163076158562,0.019304975772312646,0.7180166367616077,0.7201967592592593,0.7130872610184341,0.7304480406870395,0.6078873124649641,0.8181135696955649,0.5696582749988011,modelo_ml
Climatologia_zona_mes,0.7122811641088388,0.014749939031377573,0.7129511864357175,,0.7150369599056859,0.7238678991546529,0.6003098956277007,0.8126656975441626,,baseline
XGBoost,0.7063993906867038,0.018427102301240415,0.7050446155021276,0.7093460648148148,0.6981115943402392,0.7144838256252108,0.5918418260704301,0.8128725203644703,1.8439643250021618,modelo_ml
Random_Forest,0.7012123567367889,0.017963918010683637,0.7001478161136719,0.705150462962963,0.7017427671922066,0.7109164626682987,0.5779771893515466,0.8147434181905215,2.9669070500021917,modelo_ml
Logistic_Regression,0.6967048648744814,0.012532208950253337,0.6971199857535393,0.7018229166666666,0.7181664739116451,0.7208699903483993,0.5644114213586542,0.8048331829163905,0.36646619999737595,modelo_ml
MLP,0.6782125459779206,0.022594049770124275,0.6793163256347968,0.6850405092592593,0.6850319307796429,0.6845122055837183,0.542316487109374,0.8078089452406695,2.479628249999223,modelo_ml
Persistencia,0.5904185395405437,0.016185138163241172,0.590300503310474,,0.6166956859338908,0.6179734115480939,0.4332270968261986,0.7200551102473385,,baseline
Climatologia_mes,0.45872221352566783,0.04097567321122796,0.5026440354423994,,0.7276494540825341,0.595684777280865,0.17085237805358666,0.6096294852425518,,baseline
Dummy_most_frequent,0.14905685391318446,0.010051832014118038,0.3333333333333333,,0.25,0.10583941605839416,0.3413311456811592,0.0,,baseline
