zone_id,target_period_start,fold,modelo,y_real,y_pred
quito,2005-08-01,1,Logistic_Regression,Media,Media
riobamba,2005-08-01,1,Logistic_Regression,Baja,Baja
salinas,2005-08-01,1,Logistic_Regression,Baja,Baja
tena,2005-08-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-09-01,1,Logistic_Regression,Baja,Baja
cuenca,2005-09-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2005-09-01,1,Logistic_Regression,Media,Baja
guayaquil,2005-09-01,1,Logistic_Regression,Baja,Baja
loja,2005-09-01,1,Logistic_Regression,Baja,Baja
machala,2005-09-01,1,Logistic_Regression,Baja,Baja
portoviejo,2005-09-01,1,Logistic_Regression,Baja,Baja
puyo,2005-09-01,1,Logistic_Regression,Baja,Baja
quito,2005-09-01,1,Logistic_Regression,Alta,Media
riobamba,2005-09-01,1,Logistic_Regression,Baja,Baja
salinas,2005-09-01,1,Logistic_Regression,Baja,Baja
tena,2005-09-01,1,Logistic_Regression,Media,Media
babahoyo,2005-10-01,1,Logistic_Regression,Media,Media
cuenca,2005-10-01,1,Logistic_Regression,Media,Baja
esmeraldas,2005-10-01,1,Logistic_Regression,Baja,Baja
guayaquil,2005-10-01,1,Logistic_Regression,Baja,Baja
loja,2005-10-01,1,Logistic_Regression,Baja,Media
machala,2005-10-01,1,Logistic_Regression,Baja,Baja
portoviejo,2005-10-01,1,Logistic_Regression,Baja,Baja
puyo,2005-10-01,1,Logistic_Regression,Media,Media
quito,2005-10-01,1,Logistic_Regression,Alta,Alta
riobamba,2005-10-01,1,Logistic_Regression,Media,Media
salinas,2005-10-01,1,Logistic_Regression,Baja,Baja
tena,2005-10-01,1,Logistic_Regression,Media,Media
babahoyo,2005-11-01,1,Logistic_Regression,Media,Media
cuenca,2005-11-01,1,Logistic_Regression,Media,Media
esmeraldas,2005-11-01,1,Logistic_Regression,Baja,Baja
guayaquil,2005-11-01,1,Logistic_Regression,Media,Baja
loja,2005-11-01,1,Logistic_Regression,Media,Media
machala,2005-11-01,1,Logistic_Regression,Media,Baja
portoviejo,2005-11-01,1,Logistic_Regression,Baja,Baja
puyo,2005-11-01,1,Logistic_Regression,Media,Media
quito,2005-11-01,1,Logistic_Regression,Media,Alta
riobamba,2005-11-01,1,Logistic_Regression,Media,Media
salinas,2005-11-01,1,Logistic_Regression,Baja,Baja
tena,2005-11-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-12-01,1,Logistic_Regression,Alta,Media
cuenca,2005-12-01,1,Logistic_Regression,Alta,Media
esmeraldas,2005-12-01,1,Logistic_Regression,Alta,Media
guayaquil,2005-12-01,1,Logistic_Regression,Alta,Media
loja,2005-12-01,1,Logistic_Regression,Alta,Media
machala,2005-12-01,1,Logistic_Regression,Media,Media
portoviejo,2005-12-01,1,Logistic_Regression,Media,Baja
puyo,2005-12-01,1,Logistic_Regression,Alta,Alta
quito,2005-12-01,1,Logistic_Regression,Alta,Alta
riobamba,2005-12-01,1,Logistic_Regression,Media,Media
salinas,2005-12-01,1,Logistic_Regression,Baja,Baja
tena,2005-12-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-01-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-01-01,1,Logistic_Regression,Media,Media
esmeraldas,2006-01-01,1,Logistic_Regression,Alta,Alta
guayaquil,2006-01-01,1,Logistic_Regression,Media,Media
loja,2006-01-01,1,Logistic_Regression,Media,Media
machala,2006-01-01,1,Logistic_Regression,Media,Media
portoviejo,2006-01-01,1,Logistic_Regression,Media,Media
puyo,2006-01-01,1,Logistic_Regression,Alta,Alta
quito,2006-01-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-01-01,1,Logistic_Regression,Media,Alta
salinas,2006-01-01,1,Logistic_Regression,Baja,Baja
tena,2006-01-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-02-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-02-01,1,Logistic_Regression,Media,Media
esmeraldas,2006-02-01,1,Logistic_Regression,Alta,Alta
guayaquil,2006-02-01,1,Logistic_Regression,Alta,Alta
loja,2006-02-01,1,Logistic_Regression,Media,Media
machala,2006-02-01,1,Logistic_Regression,Alta,Media
portoviejo,2006-02-01,1,Logistic_Regression,Alta,Alta
puyo,2006-02-01,1,Logistic_Regression,Media,Alta
quito,2006-02-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-02-01,1,Logistic_Regression,Media,Media
salinas,2006-02-01,1,Logistic_Regression,Alta,Baja
tena,2006-02-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-03-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-03-01,1,Logistic_Regression,Media,Media
esmeraldas,2006-03-01,1,Logistic_Regression,Media,Alta
guayaquil,2006-03-01,1,Logistic_Regression,Alta,Alta
loja,2006-03-01,1,Logistic_Regression,Media,Media
machala,2006-03-01,1,Logistic_Regression,Alta,Alta
portoviejo,2006-03-01,1,Logistic_Regression,Alta,Alta
puyo,2006-03-01,1,Logistic_Regression,Media,Media
quito,2006-03-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-03-01,1,Logistic_Regression,Media,Media
