modelo,k_features,macro_f1_cv_mean,macro_f1_cv_std,balanced_accuracy_cv_mean,recall_alta_cv_mean,f1_media_cv_mean
Regresion_Logistica,40,0.34827664026857996,0.021231522005338992,0.3638280251880173,0.4019864157818549,0.23956430624584057
Regresion_Logistica,60,0.34126540511127573,0.029757350021491137,0.35624481321519547,0.4003306282037372,0.23272748309606267
Regresion_Logistica,80,0.3523738541967984,0.02686481291485287,0.364338482064883,0.40088255802299605,0.2609900706563875
Regresion_Logistica,100,0.3522145182103699,0.023331352229908602,0.36490676664710603,0.41232073225186794,0.2587540874389319
Regresion_Logistica,120,0.35340571222654116,0.023115376996218004,0.3658944182188155,0.42217219823903046,0.25624435891920294
Regresion_Logistica,150,0.35204171290468506,0.01054318990371037,0.3639541941933664,0.41212565563434833,0.2623262232993458
Regresion_Logistica,192,0.35243559830279303,0.007903859323207295,0.36211578667563227,0.4105381748529186,0.2728438310923175
Random_Forest,40,0.34714534494657917,0.02909012774813772,0.35083711295019876,0.308025578696159,0.34731250902868066
Random_Forest,60,0.34520785812947946,0.029031654585167287,0.34876564524947945,0.299484200980024,0.3404774059085498
Random_Forest,80,0.3461815136721985,0.03416521488535866,0.3484658270106362,0.3171384083666766,0.3439514616336022
Random_Forest,100,0.34501866727886976,0.022501707340676372,0.34654307037061866,0.3217969281414754,0.34790890065857694
Random_Forest,120,0.3400871987891876,0.024831465418911035,0.342807281020129,0.32110149765941143,0.339865719418435
Random_Forest,150,0.3389334764936696,0.02854219214727302,0.3407223995657582,0.30146764502149465,0.34648516456747847
Random_Forest,192,0.34839845131493413,0.02410458636685049,0.35153857011066514,0.31591389531669506,0.35803379689832954
XGBoost,40,0.33929671849412085,0.011532517408514398,0.3419345185235847,0.34057558682756245,0.34043724694561145
XGBoost,60,0.34868678577305073,0.02770343838624261,0.3508627490826978,0.35286515809771624,0.34191070574271826
XGBoost,80,0.35154764710114905,0.020118959347233862,0.3532675434416074,0.3511004104648268,0.342749607907739
XGBoost,100,0.34186699407773713,0.03644263998918132,0.3430792334494907,0.34483102319521375,0.339985131666703
XGBoost,120,0.34979394324017776,0.029009599607938145,0.3515651393973309,0.3445307834334703,0.35489696310094027
XGBoost,150,0.3560900341458405,0.025316423855972065,0.3581743317777398,0.3404541608763781,0.3692317900068738
XGBoost,192,0.3591037812191596,0.028524243832109955,0.3609206479537389,0.3610890276277497,0.3671922065801815
SVM_RBF,40,0.36091328741232004,0.021032972896511758,0.3670430886918057,0.2998730422132996,0.3254916026235752
SVM_RBF,60,0.3536004511443175,0.02846645172295811,0.3602545644308053,0.2872730847838096,0.31515098184494
SVM_RBF,80,0.3586386793765866,0.03406574556796628,0.36377408834402075,0.290027925713182,0.33119453594477855
SVM_RBF,100,0.3619715046338277,0.02551615921864708,0.36708305011339437,0.3035257453466982,0.32504072455669314
SVM_RBF,120,0.35518554422310855,0.028922925320637016,0.3600512653046149,0.29549695243418433,0.3279690609682756
SVM_RBF,150,0.3555478668058865,0.026533192559108843,0.3583272404565943,0.3063042060671322,0.33381110723773344
SVM_RBF,192,0.3556633043835017,0.01948667799689789,0.35875982727038386,0.3088106162671527,0.33390057869181744
MLP,40,0.3534394444916661,0.02543278220487154,0.3571455665518246,0.3211048227756288,0.3124091980190381
MLP,60,0.3514554862160048,0.014363814706162301,0.35781303102559386,0.3784532074383056,0.28669098785187386
MLP,80,0.3441570432399525,0.03405624079552796,0.3469368112611253,0.3151277788216149,0.3173270091649091
MLP,100,0.331426735316371,0.00645817913494215,0.336969957896757,0.34405025056978095,0.2540482624518537
MLP,120,0.34301696695160044,0.027031707139355803,0.3503917522185963,0.37418228080341426,0.30549076725678453
MLP,150,0.3546132940891739,0.030408370191711893,0.356259634044183,0.36013982442634507,0.32051827892933393
MLP,192,0.36473439686846265,0.014345643100952285,0.367089716689893,0.35457376032562304,0.3430775809024759
