feature,mutual_information
rx5_max_6m,0.06073455378071069
clim_z_prcptot_mm_lag0,0.049940858220274276
clim_z_dewpoint_mean_c_lag1,0.04591042572876214
clim_z_rx1day_mm_lag0,0.04089876801536119
clim_z_prcptot_mm_lag1,0.03529986392365969
clim_z_sdii_mm_per_wet_day_lag0,0.03454596255863973
clim_z_dewpoint_mean_c_lag0,0.03115818363487155
relative_humidity_mean_pct_lag1,0.029448787321978864
clim_z_rx5day_mm_lag0,0.028179491348135022
temperature_mean_c_lag0,0.026829213586012424
prcptot_tendencia_1m,0.026808729958801125
clim_z_rx1day_mm_lag1,0.02660097879770351
max_1h_mm_lag0,0.025897577354743184
max_3h_mm_lag1,0.025289769130063977
temperature_min_c_lag1,0.024773782295896662
wet_days_lag0,0.024008364038171193
clim_z_relative_humidity_mean_pct_lag0,0.02328827874684669
temperature_max_c_lag0,0.021862410381628505
dewpoint_mean_c_lag1,0.02155359845848892
cdd_days_lag0,0.020503181706845286
temperature_max_c_lag4,0.02047724654640426
amenaza_actual_Alta,0.019600896458953798
r10mm_days_lag0,0.0191002647599956
amenaza_actual_Baja,0.018922046529667558
dewpoint_mean_c_lag2,0.018421748985316455
clim_z_sdii_mm_per_wet_day_lag1,0.018386509981406896
max_6h_mm_lag0,0.01813420832005752
relative_humidity_mean_pct_lag0,0.01812615941763207
sdii_mm_per_wet_day_lag1,0.01806979425865496
temperature_mean_c_lag1,0.0174716283812546
r10mm_days_lag1,0.017014010253492362
surface_pressure_mean_hpa_lag1,0.01662294489457894
sdii_mm_per_wet_day_lag5,0.01622729139509893
r10mm_days_lag5,0.016075787250469986
cdd_days_lag1,0.015857203393669028
clim_z_rx5day_mm_lag1,0.015795133998534716
surface_pressure_mean_hpa_lag3,0.015690674817220085
clim_z_temperature_mean_c_lag0,0.015303050735734125
prcptot_mm_lag1,0.014833406616048261
latitud_solicitada,0.014567304052865104
wind_mean_ms_lag5,0.014285255697779498
rx5day_mm_lag1,0.014052881704339715
temperature_max_c_lag6,0.014005664458378142
relative_humidity_mean_pct_lag11,0.01394520635432972
clim_z_prcptot_mm_lag2,0.013538750616699069
temperature_min_c_lag2,0.013390426996694682
max_3h_mm_lag2,0.013264915532841925
