feature,mutual_information
rx5_max_6m,0.06454241015120199
clim_z_dewpoint_mean_c_lag0,0.05646197927446872
clim_z_prcptot_mm_lag0,0.052592921514694746
clim_z_rx5day_mm_lag0,0.049820448897974545
temperature_min_c_lag1,0.04347230946958769
clim_z_prcptot_mm_lag1,0.04159851249956126
clim_z_dewpoint_mean_c_lag1,0.040851458502991767
max_3h_mm_lag1,0.04072820155689261
clim_z_rx5day_mm_lag2,0.03721359599987317
clim_z_rx5day_mm_lag1,0.03707317364742457
clim_z_rx1day_mm_lag1,0.03657938944505923
clim_z_relative_humidity_mean_pct_lag2,0.034328888188742246
max_1h_mm_lag0,0.0332099631107885
wet_days_lag0,0.03251771381107549
wet_days_lag4,0.03196621806481592
relative_humidity_mean_pct_lag1,0.03173303344674361
clim_z_sdii_mm_per_wet_day_lag0,0.0314150413686658
clim_z_dewpoint_mean_c_lag2,0.03101339508565948
temperature_mean_c_lag1,0.028725788006143116
sdii_mm_per_wet_day_lag1,0.02827019500471617
prcptot_media_6m,0.02821746255947777
clim_z_relative_humidity_mean_pct_lag0,0.027936170549946793
surface_pressure_mean_hpa_lag1,0.027874123695832864
prcptot_tendencia_1m,0.027679297757306154
temperature_min_c_lag5,0.02744718046410899
sdii_mm_per_wet_day_lag0,0.02642766272243402
cdd_days_lag2,0.02601821136155058
max_6h_mm_lag0,0.024475327753195053
wind_max_ms_lag4,0.024252691451314146
prcptot_mm_lag2,0.022826200769627825
temperature_mean_c_lag0,0.02263984114855111
temperature_max_c_lag0,0.022135527113100517
cdd_days_lag0,0.022062069019632924
clim_z_sdii_mm_per_wet_day_lag1,0.02134216911662712
prcptot_mm_lag5,0.021234741664676537
wind_mean_ms_lag4,0.020799007781963752
max_3h_mm_lag0,0.020656941836254106
sdii_mm_per_wet_day_lag6,0.020129027136444044
amenaza_actual_Media,0.019918586384236825
rx1day_mm_lag3,0.01920434966230422
prcptot_mm_lag1,0.018459881722152183
rx5day_mm_lag1,0.018163786232667345
prcptot_mm_lag0,0.017448656809674112
relative_humidity_mean_pct_lag0,0.017419243894233993
max_1h_mm_lag2,0.017144224981404665
surface_pressure_mean_hpa_lag0,0.016610074892565052
temperature_max_c_lag6,0.01599686974043779
rx5day_mm_lag4,0.015849081713389612
clim_z_temperature_mean_c_lag1,0.015518181397766728
temperature_max_c_lag3,0.015454862253841739
wet_days_lag2,0.014987512012766047
max_1h_mm_lag4,0.014321644959511826
r10mm_days_lag1,0.01404838593909119
dewpoint_mean_c_lag1,0.013934555317574482
wind_mean_ms_lag1,0.013617778522488244
wind_mean_ms_lag3,0.013568835753205555
amenaza_actual_Alta,0.013285300644921172
dewpoint_mean_c_lag6,0.013177256975436702
cwd_days_lag0,0.0128231734616584
prcptot_media_3m,0.01270622226642093
surface_pressure_mean_hpa_lag3,0.012646787682697891
max_6h_mm_lag1,0.012612528922450128
prcptot_mm_lag6,0.012138776489277525
dewpoint_mean_c_lag2,0.012036226069712885
clim_z_sdii_mm_per_wet_day_lag2,0.012030857162075304
relative_humidity_mean_pct_lag11,0.011993449322277083
max_6h_mm_lag4,0.011982775071642582
rx5day_mm_lag3,0.011573474388272054
cwd_days_lag1,0.011490749144668744
cdd_days_lag3,0.010948303612382304
max_3h_mm_lag6,0.010278625002352104
sdii_mm_per_wet_day_lag3,0.010009059928317576
temperature_mean_c_lag2,0.009654169284699421
humedad_media_3m,0.009612780033207535
max_6h_mm_lag6,0.009447624705258839
temperature_max_c_lag5,0.009416008490514827
max_1h_mm_lag3,0.009151510561282272
temperature_mean_c_lag11,0.009106282729462123
clim_z_prcptot_mm_lag2,0.009096868940924097
temperature_min_c_lag2,0.008658895875421457
r10mm_days_lag0,0.008267301412665073
dewpoint_mean_c_lag0,0.00816057403343251
max_1h_mm_lag5,0.008117530277126583
rx1day_mm_lag2,0.00795661447160434
sdii_mm_per_wet_day_lag5,0.007808358251961689
r10mm_days_lag4,0.0076074785760433805
max_3h_mm_lag2,0.007272974016486078
wind_max_ms_lag1,0.00688577010861513
rx5day_mm_lag6,0.006854264480882222
wind_mean_ms_lag0,0.006845716793431045
