feature,mutual_information
rx5_max_6m,0.05484827489938948
clim_z_dewpoint_mean_c_lag0,0.05209833663996566
clim_z_sdii_mm_per_wet_day_lag0,0.041891334648387346
max_3h_mm_lag1,0.040215496772760595
clim_z_dewpoint_mean_c_lag1,0.0389551630040712
clim_z_rx5day_mm_lag0,0.03891631204934454
max_1h_mm_lag0,0.03726569074973529
temperature_mean_c_lag0,0.03720789200834629
prcptot_tendencia_1m,0.03492672145006237
clim_z_rx1day_mm_lag0,0.03484383821636139
clim_z_sdii_mm_per_wet_day_lag1,0.03319192623389178
relative_humidity_mean_pct_lag1,0.033090332138888234
temperature_min_c_lag1,0.03125335248139538
clim_z_dewpoint_mean_c_lag2,0.030380611516697797
clim_z_relative_humidity_mean_pct_lag0,0.02858501685723791
clim_z_temperature_mean_c_lag2,0.027997000125432603
r10mm_days_lag0,0.027982827369029017
amenaza_actual_Alta,0.025587441445369397
clim_z_prcptot_mm_lag0,0.025201828643611313
dewpoint_mean_c_lag2,0.02445860607536754
temperature_max_c_lag0,0.02445134850919417
r20mm_days_lag3,0.024064580971370653
clim_z_rx5day_mm_lag1,0.02384750083525966
max_1h_mm_lag3,0.023815227874804057
r10mm_days_lag3,0.02334507124376528
clim_z_prcptot_mm_lag1,0.023245148026433515
clim_z_prcptot_mm_lag2,0.0231331397763479
sdii_mm_per_wet_day_lag1,0.0225369268225184
temperature_min_c_lag5,0.02244531152140361
temperature_mean_c_lag1,0.022340413344090315
surface_pressure_mean_hpa_lag1,0.02209419300803006
r20mm_days_lag4,0.022067807791412708
r10mm_days_lag2,0.020907357113233438
r20mm_days_lag0,0.019652466495426957
clim_z_relative_humidity_mean_pct_lag2,0.019609457439369482
relative_humidity_mean_pct_lag0,0.018991486910143074
wet_days_lag1,0.01838438001595888
clim_z_sdii_mm_per_wet_day_lag2,0.018314844854157464
amenaza_actual_Baja,0.018059068098696507
max_1h_mm_lag2,0.017993714400015737
r10mm_days_lag4,0.017927989080846363
clim_z_relative_humidity_mean_pct_lag1,0.017073103764530195
rx5day_mm_lag1,0.016643986895828355
longitud_solicitada,0.016082122637877116
rx5day_mm_lag4,0.015832392427592712
prcptot_mm_lag5,0.01579085098184052
prcptot_mm_lag1,0.0153852906150731
max_6h_mm_lag0,0.014786712675977753
temperature_max_c_lag4,0.014701662095919499
prcptot_mm_lag2,0.014245187930934655
prcptot_media_6m,0.013830306292091255
wind_mean_ms_lag3,0.013720439244813143
clim_z_rx1day_mm_lag1,0.01324332746848933
sdii_mm_per_wet_day_lag5,0.012781401024063221
max_1h_mm_lag4,0.012689982230901897
prcptot_mm_lag0,0.012524011032924776
relative_humidity_mean_pct_lag11,0.012392475453734342
cwd_days_lag4,0.012209369774754286
rx1day_mm_lag3,0.011989524135184837
wind_mean_ms_lag5,0.01158946072768341
temperature_max_c_lag3,0.011405843935104798
temperature_max_c_lag6,0.011319566962898264
dewpoint_mean_c_lag1,0.011294430010320156
prcptot_mm_lag11,0.011274299701710788
wind_max_ms_lag4,0.011037705858437441
prcptot_mm_lag6,0.010931581316117711
humedad_media_3m,0.010636224329777288
temperatura_tendencia_1m,0.009837848663149185
temperature_mean_c_lag2,0.009564459438541562
sdii_mm_per_wet_day_lag0,0.009406935181200282
target_month_sin,0.009173032679448134
wind_mean_ms_lag0,0.008678202438853866
sdii_mm_per_wet_day_lag6,0.008674118744660397
r20mm_days_lag1,0.008583849893180506
rx5day_mm_lag3,0.008546210962049106
max_3h_mm_lag2,0.008522170027839948
clim_z_temperature_mean_c_lag1,0.008389875895324916
prcptot_mm_lag4,0.008035575480858093
max_3h_mm_lag0,0.007832566059451818
max_6h_mm_lag1,0.0077931055344988565
surface_pressure_mean_hpa_lag0,0.0077645399606516285
cdd_days_lag1,0.007231172785005846
wind_max_ms_lag5,0.007184498690028018
dewpoint_mean_c_lag0,0.007014456267123048
surface_pressure_mean_hpa_lag3,0.006945479104065733
r10mm_days_lag1,0.00665807810544905
wind_mean_ms_lag4,0.0066194757031921014
rx5_media_3m,0.006491353436531178
dewpoint_mean_c_lag5,0.00630841166240792
temperature_max_c_lag1,0.006181906254063119
r10mm_days_lag5,0.006016701014220249
cdd_days_lag0,0.005727116742968885
temperature_min_c_lag2,0.0056870077053612356
wind_max_ms_lag6,0.005671509848292899
clim_z_temperature_mean_c_lag0,0.005656609694558501
rx1day_mm_lag1,0.00543450613111629
relative_humidity_mean_pct_lag5,0.005371862716205378
rx1day_mm_lag0,0.005162807788789969
max_1h_mm_lag6,0.005143562956198
wet_days_lag5,0.005059920054595324
cwd_days_lag1,0.004558284959282677
max_6h_mm_lag5,0.0044753644810233695
rx5day_mm_lag0,0.0043254709179736395
wet_days_lag6,0.004239135800536253
max_6h_mm_lag2,0.003947814820114637
max_1h_mm_lag5,0.0034588262093042665
cdd_days_lag6,0.0024349649325610123
cwd_days_lag0,0.002384709647672345
r20mm_days_lag2,0.0021520206006258036
wet_days_lag4,0.0019366402791840542
wind_mean_ms_lag1,0.001813314527348009
prcptot_media_3m,0.0018021213274836967
rx5day_mm_lag6,0.0017372416653058664
cdd_days_lag4,0.0017178481420354608
temperature_min_c_lag0,0.0014531924010157127
temperature_mean_c_lag11,0.0012970299478278768
rx5day_mm_lag5,0.0007404767398830892
max_3h_mm_lag6,0.00019525567040279412
max_3h_mm_lag3,0.00016784586722007333
amenaza_actual_Media,0.0
cdd_days_lag2,0.0
cdd_days_lag3,0.0
cdd_days_lag5,0.0
clim_z_rx1day_mm_lag2,0.0
clim_z_rx5day_mm_lag2,0.0
cwd_days_lag2,0.0
cwd_days_lag3,0.0
cwd_days_lag5,0.0
cwd_days_lag6,0.0
dewpoint_mean_c_lag3,0.0
dewpoint_mean_c_lag4,0.0
dewpoint_mean_c_lag6,0.0
humedad_tendencia_1m,0.0
latitud_solicitada,0.0
max_1h_mm_lag1,0.0
max_3h_mm_lag4,0.0
max_3h_mm_lag5,0.0
max_6h_mm_lag11,0.0
max_6h_mm_lag3,0.0
max_6h_mm_lag4,0.0
max_6h_mm_lag6,0.0
month_cos,0.0
month_sin,0.0
prcptot_mm_lag3,0.0
r10mm_days_lag6,0.0
r20mm_days_lag5,0.0
r20mm_days_lag6,0.0
relative_humidity_mean_pct_lag2,0.0
relative_humidity_mean_pct_lag3,0.0
relative_humidity_mean_pct_lag4,0.0
relative_humidity_mean_pct_lag6,0.0
rx1day_mm_lag11,0.0
rx1day_mm_lag2,0.0
rx1day_mm_lag4,0.0
rx1day_mm_lag5,0.0
rx1day_mm_lag6,0.0
rx5_tendencia_1m,0.0
rx5day_mm_lag11,0.0
rx5day_mm_lag2,0.0
sdii_mm_per_wet_day_lag11,0.0
sdii_mm_per_wet_day_lag2,0.0
sdii_mm_per_wet_day_lag3,0.0
sdii_mm_per_wet_day_lag4,0.0
surface_pressure_mean_hpa_lag2,0.0
surface_pressure_mean_hpa_lag4,0.0
surface_pressure_mean_hpa_lag5,0.0
surface_pressure_mean_hpa_lag6,0.0
target_month_cos,0.0
target_rx5_clim_mean,0.0
target_rx5_clim_q33,0.0
target_rx5_clim_q66,0.0
target_rx5_clim_std,0.0
temperatura_media_3m,0.0
temperature_max_c_lag2,0.0
temperature_max_c_lag5,0.0
temperature_mean_c_lag3,0.0
temperature_mean_c_lag4,0.0
temperature_mean_c_lag5,0.0
temperature_mean_c_lag6,0.0
temperature_min_c_lag3,0.0
temperature_min_c_lag4,0.0
temperature_min_c_lag6,0.0
wet_days_lag0,0.0
wet_days_lag11,0.0
wet_days_lag2,0.0
wet_days_lag3,0.0
wind_max_ms_lag0,0.0
wind_max_ms_lag1,0.0
wind_max_ms_lag2,0.0
wind_max_ms_lag3,0.0
wind_mean_ms_lag2,0.0
wind_mean_ms_lag6,0.0
