modelo,k_features,fold,macro_f1,balanced_accuracy,recall_alta,f1_alta,recall_baja,f1_baja,recall_media,f1_media
Regresion_Logistica,40,F1,0.3202998551835761,0.32724667995773005,0.1619047619047619,0.18681318681318682,0.5645161290322581,0.4883720930232558,0.2553191489361702,0.2857142857142857
Regresion_Logistica,40,F2,0.34733901650841087,0.35377256919051564,0.3798449612403101,0.34146341463414637,0.4236111111111111,0.39228295819935693,0.2578616352201258,0.3082706766917293
Regresion_Logistica,40,F3,0.3800761188386325,0.3974883058775676,0.45454545454545453,0.4276315789473684,0.55,0.47530864197530864,0.18791946308724833,0.23728813559322035
Regresion_Logistica,40,F4,0.34539157054370034,0.37680454572625605,0.6116504854368932,0.5111561866125761,0.4308510638297872,0.39803439803439805,0.08791208791208792,0.12698412698412698
Regresion_Logistica,60,F1,0.2957013746487431,0.3011842119597781,0.14285714285714285,0.16666666666666666,0.5053763440860215,0.44976076555023925,0.2553191489361702,0.2706766917293233
Regresion_Logistica,60,F2,0.3337710938187062,0.3464787187362878,0.3798449612403101,0.3356164383561644,0.4583333333333333,0.4086687306501548,0.20125786163522014,0.2570281124497992
Regresion_Logistica,60,F3,0.3688338383630638,0.3831087257261754,0.44755244755244755,0.423841059602649,0.5071428571428571,0.4409937888198758,0.19463087248322147,0.24166666666666667
Regresion_Logistica,60,F4,0.36675531361458974,0.39420759643854053,0.6310679611650486,0.5327868852459017,0.43617021276595747,0.40594059405940597,0.11538461538461539,0.16153846153846155
Regresion_Logistica,80,F1,0.31060446325701224,0.3146256168905448,0.1619047619047619,0.19101123595505617,0.5053763440860215,0.45083932853717024,0.2765957446808511,0.2899628252788104
Regresion_Logistica,80,F2,0.34855311138205874,0.3552798904652788,0.35658914728682173,0.32280701754385965,0.4513888888888889,0.40625,0.2578616352201258,0.3166023166023166
Regresion_Logistica,80,F3,0.3818158169204444,0.39443218973420313,0.46853146853146854,0.43934426229508194,0.5,0.4416403785488959,0.21476510067114093,0.2644628099173554
Regresion_Logistica,80,F4,0.3685220252276782,0.3930162311695053,0.616504854368932,0.522633744855967,0.43617021276595747,0.41,0.12637362637362637,0.17293233082706766
Regresion_Logistica,100,F1,0.3266364171954681,0.32995391705069127,0.1619047619047619,0.18994413407821228,0.4946236559139785,0.45544554455445546,0.3333333333333333,0.33451957295373663
Regresion_Logistica,100,F2,0.3359666202166233,0.34658029025075976,0.3953488372093023,0.34459459459459457,0.4305555555555556,0.3987138263665595,0.2138364779874214,0.26459143968871596
