modelo,k_mejor_media,mejor_macro_f1,mejor_recall_alta,error_estandar,umbral_1se,k_recomendado_1se,macro_f1_k_1se,recall_alta_k_1se
MLP,192,0.36473439686846265,0.35457376032562304,0.007172821550476142,0.3575615753179865,192,0.36473439686846265,0.35457376032562304
SVM_RBF,100,0.3619715046338277,0.3035257453466982,0.01275807960932354,0.3492134250245042,40,0.36091328741232004,0.2998730422132996
XGBoost,192,0.3591037812191596,0.3610890276277497,0.014262121916054978,0.3448416593031046,60,0.34868678577305073,0.35286515809771624
Regresion_Logistica,120,0.35340571222654116,0.42217219823903046,0.011557688498109002,0.34184802372843215,40,0.34827664026857996,0.4019864157818549
Random_Forest,192,0.34839845131493413,0.31591389531669506,0.012052293183425246,0.33634615813150887,40,0.34714534494657917,0.308025578696159
