modelo,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,inference_seconds,fit_seconds
Persistencia,0.4092073182130144,0.4090682324046358,0.485,0.4801980198019802,0.48258706467661694,202,0.4482758620689655,0.4504950495049505,0.44938271604938274,202,0.2947976878612717,0.29651162790697677,0.2956521739130435,172,0.0,
MLP,0.39581618905873284,0.40425205311228796,0.48717948717948717,0.37623762376237624,0.4245810055865922,202,0.43727598566308246,0.6039603960396039,0.5072765072765073,202,0.28368794326241137,0.23255813953488372,0.25559105431309903,172,0.002667299995664507,0.4623278999933973
Random_Forest,0.38267780542248836,0.3847378923938906,0.45588235294117646,0.4603960396039604,0.458128078817734,202,0.423963133640553,0.45544554455445546,0.43914081145584727,202,0.2645161290322581,0.23837209302325582,0.25076452599388377,172,0.05035160000261385,3.100238300001365
Regresion_Logistica,0.37825346959852557,0.38387443395502335,0.4214876033057851,0.504950495049505,0.4594594594594595,202,0.4215686274509804,0.42574257425742573,0.4236453201970443,202,0.2923076923076923,0.22093023255813954,0.25165562913907286,172,0.0021058999991510063,0.08751259998825844
XGBoost,0.36680104333519825,0.3656650548775808,0.4451219512195122,0.3613861386138614,0.3989071038251366,202,0.39622641509433965,0.4158415841584158,0.4057971014492754,202,0.275,0.31976744186046513,0.2956989247311828,172,0.011379500007024035,2.6871233000128996
SVM_RBF,0.3588681032441392,0.3597743495279761,0.4,0.4158415841584158,0.4077669902912621,202,0.38095238095238093,0.39603960396039606,0.3883495145631068,202,0.2948717948717949,0.26744186046511625,0.2804878048780488,172,0.18100039999990258,7.365971500010346
DummyClassifier,0.17309340188517566,0.3333333333333333,0.3506944444444444,1.0,0.519280205655527,202,0.0,0.0,0.0,202,0.0,0.0,0.0,172,0.00010489999840501696,
