modelo,macro_f1,balanced_accuracy,accuracy,recall_alta,f1_baja,f1_media,f1_alta
SVM_RBF,0.6894521803081833,0.6891958284619908,0.6996527777777778,0.7028301886792453,0.8009708737864077,0.5297619047619048,0.7376237623762376
Persistencia,0.6126725838718543,0.6127794089208639,0.6371527777777778,0.7028301886792453,0.7395348837209302,0.39730639730639733,0.7011764705882353
Climatologia_mes,0.4386322067594433,0.5150943396226415,0.5729166666666666,0.7452830188679245,0.68389662027833,0.0,0.632
Dummy_most_frequent,0.17935702199661588,0.3333333333333333,0.3680555555555556,1.0,0.0,0.0,0.5380710659898477
