,precision,recall,f1-score,support
Baja,0.8375634517766497,0.7674418604651163,0.8009708737864077,215.0
Media,0.47593582887700536,0.5973154362416108,0.5297619047619048,149.0
Alta,0.7760416666666666,0.7028301886792453,0.7376237623762376,212.0
accuracy,0.6996527777777778,0.6996527777777778,0.6996527777777778,0.6996527777777778
macro avg,0.6965136491067739,0.6891958284619908,0.6894521803081833,576.0
weighted avg,0.7213739825833104,0.6996527777777778,0.70749913072459,576.0
