,precision,recall,f1-score,support
Alta,0.42738589211618255,0.5099009900990099,0.4650112866817156,202.0
Baja,0.441747572815534,0.4504950495049505,0.44607843137254904,202.0
Media,0.2868217054263566,0.21511627906976744,0.24584717607973422,172.0
accuracy,0.4010416666666667,0.4010416666666667,0.4010416666666667,0.4010416666666667
macro avg,0.38531839011935776,0.39183743955790923,0.3856456313779996,576.0
weighted avg,0.3904484257804516,0.4010416666666667,0.39292680092478427,576.0
