,precision,recall,f1-score,support
Alta,0.4225352112676056,0.44554455445544555,0.43373493975903615,202.0
Baja,0.4489051094890511,0.6089108910891089,0.5168067226890757,202.0
Media,0.3258426966292135,0.1686046511627907,0.2222222222222222,172.0
accuracy,0.4201388888888889,0.4201388888888889,0.4201388888888889,0.4201388888888889
macro avg,0.3990943391286234,0.4076866989024484,0.39092129489011135,576.0
weighted avg,0.4029095288421343,0.4201388888888889,0.39970770492489727,576.0
