,precision,recall,f1-score,support
Alta,0.4472049689440994,0.3564356435643564,0.39669421487603307,202.0
Baja,0.41346153846153844,0.42574257425742573,0.4195121951219512,202.0
Media,0.2753623188405797,0.3313953488372093,0.3007915567282322,172.0
accuracy,0.3732638888888889,0.3732638888888889,0.3732638888888889,0.3732638888888889
macro avg,0.3786762754154059,0.37119118888633046,0.37233265557540546,576.0
weighted avg,0.3840572106536781,0.3732638888888889,0.37605875447369574,576.0
