,precision,recall,f1-score,support
Alta,0.4926829268292683,0.5,0.4963144963144963,202.0
Baja,0.43119266055045874,0.46534653465346537,0.44761904761904764,202.0
Media,0.28104575163398693,0.25,0.26461538461538464,172.0
accuracy,0.4131944444444444,0.4131944444444444,0.4131944444444444,0.4131944444444444
macro avg,0.4016404463379047,0.4051155115511551,0.40284964284964286,576.0
weighted avg,0.4079214200204004,0.4131944444444444,0.4100493437993438,576.0
