,precision,recall,f1-score,support
Alta,0.38349514563106796,0.3910891089108911,0.3872549019607843,202.0
Baja,0.39195979899497485,0.38613861386138615,0.38902743142144636,202.0
Media,0.26900584795321636,0.26744186046511625,0.26822157434402333,172.0
accuracy,0.3524305555555556,0.3524305555555556,0.3524305555555556,0.3524305555555556
macro avg,0.34815359752641967,0.3482231944124645,0.34816796924208465,576.0
weighted avg,0.3522758761500241,0.3524305555555556,0.35233184397635875,576.0
