fase,modelo,config_id,macro_f1_cv_mean,macro_f1_cv_std,balanced_accuracy_cv_mean,recall_alta_cv_mean,seconds,params
B,MLP,7,0.3316206288821427,0.01757180633825237,0.3331870200309672,0.31193020496475,2.189831299998332,"{""model__validation_fraction"": 0.2, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 0.00030000000000000003, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 128, ""model__alpha"": 9.999999999999999e-05, ""model__activation"": ""relu""}"
B,MLP,19,0.3308582312269948,0.02306710528742595,0.3325986327068263,0.3397188477962919,9.270176299993182,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [128, 64], ""model__batch_size"": 64, ""model__alpha"": 0.0029999999999999996, ""model__activation"": ""relu""}"
B,MLP,12,0.32929463028042977,0.02606160596684957,0.33926187384780865,0.4414544701178253,12.750591899995925,"{""model__validation_fraction"": 0.2, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 3.3333333333333335e-05, ""model__hidden_layer_sizes"": [192, 96], ""model__batch_size"": 32, ""model__alpha"": 0.0029999999999999996, ""model__activation"": ""tanh""}"
B,MLP,20,0.32924675629657946,0.021448433839699053,0.338385468453394,0.24504631554191275,5.254242199996952,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 3.3333333333333335e-05, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 32, ""model__alpha"": 0.0009, ""model__activation"": ""relu""}"
B,MLP,3,0.328851956778839,0.03619754467448158,0.33843671571398154,0.4193934311342304,7.922769099997822,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [192, 96], ""model__batch_size"": 64, ""model__alpha"": 0.0009, ""model__activation"": ""tanh""}"
B,MLP,22,0.30957520797333665,0.03056890643920504,0.3426689648182276,0.2856309999175206,1.4359434000070905,"{""model__validation_fraction"": 0.15, ""model__n_iter_no_change"": 10, ""model__learning_rate_init"": 0.0001, ""model__hidden_layer_sizes"": [64], ""model__batch_size"": 128, ""model__alpha"": 0.0009, ""model__activation"": ""relu""}"
B,MLP,6,0.3061551722287853,0.035146719007868976,0.3431334433357454,0.28663681655892087,3.759308600012446,"{""model__validation_fraction"": 0.2, ""model__n_iter_no_change"": 10, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [64], ""model__batch_size"": 32, ""model__alpha"": 0.0029999999999999996, ""model__activation"": ""relu""}"
B,MLP,9,0.28780041580770116,0.03974511179626268,0.332508237050792,0.24385765698138695,2.0610315000085393,"{""model__validation_fraction"": 0.2, ""model__n_iter_no_change"": 10, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [64], ""model__batch_size"": 64, ""model__alpha"": 0.0029999999999999996, ""model__activation"": ""relu""}"
B,XGBoost,19,0.3550491986773605,0.018470223050480704,0.3574395080575933,0.3426116143208038,36.215137500010314,"{""subsample"": 1.0, ""reg_lambda"": 50.0, ""reg_alpha"": 0.0, ""n_estimators"": 315, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.025, ""colsample_bytree"": 0.85}"
B,XGBoost,18,0.35477593636063626,0.029898267184637603,0.35728278884659814,0.32665129707351426,7.609964499992202,"{""subsample"": 1.0, ""reg_lambda"": 20.0, ""reg_alpha"": 0.001, ""n_estimators"": 315, ""min_child_weight"": 5.0, ""max_depth"": 3, ""learning_rate"": 0.07500000000000001, ""gamma"": 0.05, ""colsample_bytree"": 0.85}"
