fase,modelo,config_id,fold,fit_seconds,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,params
B,MLP,1,F1,1.1014200000063283,0.30108696027676657,0.30216796853722044,0.21568627450980393,0.20952380952380953,0.21256038647342995,105,0.38461538461538464,0.34946236559139787,0.36619718309859156,186,0.30434782608695654,0.3475177304964539,0.32450331125827814,141,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 20, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [128, 64], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""relu""}"
B,MLP,1,F2,0.7876820999954361,0.33125312445832256,0.3351372434303544,0.3269230769230769,0.3953488372093023,0.35789473684210527,129,0.3356643356643357,0.3333333333333333,0.3344947735191638,144,0.3308270676691729,0.27672955974842767,0.3013698630136986,159,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 20, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [128, 64], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""relu""}"
B,MLP,1,F3,1.302555600006599,0.35634007089115455,0.3563591889095245,0.36923076923076925,0.3356643356643357,0.3516483516483517,143,0.35172413793103446,0.36428571428571427,0.35789473684210527,140,0.3503184713375796,0.3691275167785235,0.35947712418300654,149,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 20, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [128, 64], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""relu""}"
B,MLP,1,F4,1.6421384999994189,0.3515767321035152,0.3591154765498909,0.416988416988417,0.5242718446601942,0.4645161290322581,206,0.302158273381295,0.22340425531914893,0.25688073394495414,188,0.33707865168539325,0.32967032967032966,0.3333333333333333,182,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 20, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [128, 64], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""relu""}"
B,MLP,2,F1,0.46180800000729505,0.30869495509789346,0.3088320205684653,0.22727272727272727,0.23809523809523808,0.23255813953488372,105,0.4093567251461988,0.3763440860215054,0.39215686274509803,186,0.2913907284768212,0.3120567375886525,0.3013698630136986,141,"{""model__validation_fraction"": 0.15, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""tanh""}"
B,MLP,2,F2,1.1545077999908244,0.3494838896392051,0.35126883135878306,0.3032258064516129,0.3643410852713178,0.33098591549295775,129,0.375,0.375,0.375,144,0.37593984962406013,0.31446540880503143,0.3424657534246575,159,"{""model__validation_fraction"": 0.15, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""tanh""}"
B,MLP,2,F3,0.7832441000064136,0.3241220204265494,0.3277896600044251,0.3395061728395062,0.38461538461538464,0.36065573770491804,143,0.3225806451612903,0.35714285714285715,0.3389830508474576,140,0.3130434782608696,0.24161073825503357,0.2727272727272727,149,"{""model__validation_fraction"": 0.15, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""tanh""}"
B,MLP,2,F4,0.6818127000005916,0.38236870671244677,0.38179643808646085,0.4587628865979381,0.4320388349514563,0.445,206,0.3417085427135678,0.3617021276595745,0.35142118863049093,188,0.34972677595628415,0.3516483516483517,0.3506849315068493,182,"{""model__validation_fraction"": 0.15, ""model__n_iter_no_change"": 25, ""model__learning_rate_init"": 0.00015000000000000001, ""model__hidden_layer_sizes"": [96], ""model__batch_size"": 128, ""model__alpha"": 2.9999999999999997e-05, ""model__activation"": ""tanh""}"
B,MLP,3,F1,2.0435986000084085,0.3330936171760342,0.33511455371441645,0.25862068965517243,0.2857142857142857,0.27149321266968324,105,0.46596858638743455,0.478494623655914,0.47214854111405835,186,0.272,0.24113475177304963,0.2556390977443609,141,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [192, 96], ""model__batch_size"": 64, ""model__alpha"": 0.0009, ""model__activation"": ""tanh""}"
B,MLP,3,F2,1.2536870000039926,0.26894412738305085,0.29253002453967786,0.26548672566371684,0.46511627906976744,0.3380281690140845,129,0.352,0.3055555555555556,0.3271375464684015,144,0.20987654320987653,0.1069182389937107,0.14166666666666666,159,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [192, 96], ""model__batch_size"": 64, ""model__alpha"": 0.0009, ""model__activation"": ""tanh""}"
B,MLP,3,F3,2.3661667999986093,0.3501755070968596,0.3535547226822395,0.325,0.36363636363636365,0.3432343234323432,143,0.38461538461538464,0.42857142857142855,0.40540540540540543,140,0.3448275862068966,0.2684563758389262,0.3018867924528302,149,"{""model__validation_fraction"": 0.12, ""model__n_iter_no_change"": 15, ""model__learning_rate_init"": 5e-05, ""model__hidden_layer_sizes"": [192, 96], ""model__batch_size"": 64, ""model__alpha"": 0.0009, ""model__activation"": ""tanh""}"
