fase,modelo,config_id,fold,fit_seconds,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,params
A,Regresion_Logistica,1,F1,0.04336810001404956,0.34576109453346904,0.34769748668170086,0.27522935779816515,0.2857142857142857,0.2803738317757009,105,0.39880952380952384,0.3602150537634409,0.3785310734463277,186,0.36129032258064514,0.3971631205673759,0.3783783783783784,141,"{""model__class_weight"": null, ""model__C"": 0.001}"
A,Regresion_Logistica,1,F2,0.04017059999750927,0.32573295222539816,0.3409461183430029,0.2982456140350877,0.3953488372093023,0.34,129,0.37790697674418605,0.4513888888888889,0.41139240506329117,144,0.3146067415730337,0.1761006289308176,0.22580645161290322,159,"{""model__class_weight"": null, ""model__C"": 0.001}"
A,Regresion_Logistica,1,F3,0.040141099991160445,0.36078699559928223,0.36830373206212136,0.4,0.4195804195804196,0.40955631399317405,143,0.37209302325581395,0.45714285714285713,0.41025641025641024,140,0.3090909090909091,0.22818791946308725,0.2625482625482625,149,"{""model__class_weight"": null, ""model__C"": 0.001}"
A,Regresion_Logistica,1,F4,0.04467609999119304,0.3486901699336933,0.3675634253510725,0.43795620437956206,0.5825242718446602,0.5,206,0.3686868686868687,0.3882978723404255,0.37823834196891193,188,0.23076923076923078,0.13186813186813187,0.16783216783216784,182,"{""model__class_weight"": null, ""model__C"": 0.001}"
A,Regresion_Logistica,2,F1,0.2387427000066964,0.32348087198239056,0.3247409876785306,0.23404255319148937,0.20952380952380953,0.22110552763819097,105,0.39226519337016574,0.3817204301075269,0.3869209809264305,186,0.34394904458598724,0.3829787234042553,0.3624161073825503,141,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
A,Regresion_Logistica,2,F2,0.30380150000564754,0.3236334552613622,0.32815724895584486,0.26744186046511625,0.35658914728682173,0.30564784053156147,129,0.3888888888888889,0.3888888888888889,0.3888888888888889,144,0.3275862068965517,0.2389937106918239,0.27636363636363637,159,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
A,Regresion_Logistica,2,F3,0.3609301999968011,0.34332250581348056,0.34679336323631627,0.39552238805970147,0.3706293706293706,0.38267148014440433,143,0.3430232558139535,0.42142857142857143,0.3782051282051282,140,0.29365079365079366,0.2483221476510067,0.2690909090909091,149,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
A,Regresion_Logistica,2,F4,0.4580100000021048,0.35231971331042544,0.3573747742307957,0.40562248995983935,0.49029126213592233,0.44395604395604393,206,0.3548387096774194,0.35106382978723405,0.35294117647058826,188,0.2978723404255319,0.23076923076923078,0.26006191950464397,182,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}"
A,Regresion_Logistica,3,F1,0.10736930000712164,0.31781036977764676,0.32130165266747285,0.24786324786324787,0.2761904761904762,0.26126126126126126,105,0.37662337662337664,0.3118279569892473,0.3411764705882353,186,0.32919254658385094,0.375886524822695,0.3509933774834437,141,"{""model__class_weight"": null, ""model__C"": 0.1}"
A,Regresion_Logistica,3,F2,0.11584779999975581,0.2910415307675582,0.29527753400614304,0.22905027932960895,0.3178294573643411,0.2662337662337662,129,0.34459459459459457,0.3541666666666667,0.3493150684931507,144,0.3238095238095238,0.2138364779874214,0.25757575757575757,159,"{""model__class_weight"": null, ""model__C"": 0.1}"
A,Regresion_Logistica,3,F3,0.18395969999255612,0.35470387163218203,0.3582666773941942,0.3925925925925926,0.3706293706293706,0.381294964028777,143,0.35260115606936415,0.4357142857142857,0.38977635782747605,140,0.3225806451612903,0.2684563758389262,0.29304029304029305,149,"{""model__class_weight"": null, ""model__C"": 0.1}"
A,Regresion_Logistica,3,F4,0.1772899000061443,0.3431029051296893,0.35098873102384776,0.4015151515151515,0.5145631067961165,0.451063829787234,206,0.35195530726256985,0.3351063829787234,0.34332425068119893,188,0.2781954887218045,0.2032967032967033,0.23492063492063492,182,"{""model__class_weight"": null, ""model__C"": 0.1}"
A,Regresion_Logistica,4,F1,0.03514400000858586,0.35679954469881797,0.3571613774770947,0.2948717948717949,0.21904761904761905,0.25136612021857924,105,0.4215686274509804,0.46236559139784944,0.441025641025641,186,0.36666666666666664,0.3900709219858156,0.37800687285223367,141,"{""model__class_weight"": ""balanced"", ""model__C"": 0.001}"
A,Regresion_Logistica,4,F2,0.0492824999964796,0.3420410235694769,0.350285619098695,0.30120481927710846,0.3875968992248062,0.3389830508474576,129,0.3875,0.4305555555555556,0.40789473684210525,144,0.3490566037735849,0.23270440251572327,0.2792452830188679,159,"{""model__class_weight"": ""balanced"", ""model__C"": 0.001}"
A,Regresion_Logistica,4,F3,0.053288299997802824,0.3626830808080808,0.37058478434317355,0.39490445859872614,0.43356643356643354,0.41333333333333333,143,0.375,0.45,0.4090909090909091,140,0.3177570093457944,0.22818791946308725,0.265625,149,"{""model__class_weight"": ""balanced"", ""model__C"": 0.001}"
A,Regresion_Logistica,4,F4,0.04556489999231417,0.3482187441347963,0.3704313657835658,0.43356643356643354,0.6019417475728155,0.5040650406504065,206,0.36180904522613067,0.3829787234042553,0.37209302325581395,188,0.25274725274725274,0.12637362637362637,0.1684981684981685,182,"{""model__class_weight"": ""balanced"", ""model__C"": 0.001}"
A,Regresion_Logistica,5,F1,0.346975399996154,0.321644266534114,0.3222058807508361,0.24,0.22857142857142856,0.23414634146341465,105,0.3867403314917127,0.3763440860215054,0.3814713896457766,186,0.33774834437086093,0.3617021276595745,0.3493150684931507,141,"{""model__class_weight"": ""balanced"", ""model__C"": 3.0}"
A,Regresion_Logistica,5,F2,0.4052109000040218,0.32143765441883,0.32606081289714467,0.26285714285714284,0.35658914728682173,0.3026315789473684,129,0.39436619718309857,0.3888888888888889,0.3916083916083916,144,0.3217391304347826,0.23270440251572327,0.27007299270072993,159,"{""model__class_weight"": ""balanced"", ""model__C"": 3.0}"
A,Regresion_Logistica,5,F3,0.5948404000082519,0.3407655146785582,0.34451231095526397,0.38345864661654133,0.35664335664335667,0.3695652173913043,143,0.3488372093023256,0.42857142857142855,0.38461538461538464,140,0.29133858267716534,0.2483221476510067,0.26811594202898553,149,"{""model__class_weight"": ""balanced"", ""model__C"": 3.0}"
A,Regresion_Logistica,5,F4,0.6345751000044402,0.351599318265772,0.355970030107605,0.4024390243902439,0.48058252427184467,0.43805309734513276,206,0.3548387096774194,0.35106382978723405,0.35294117647058826,188,0.2986111111111111,0.23626373626373626,0.26380368098159507,182,"{""model__class_weight"": ""balanced"", ""model__C"": 3.0}"
A,Regresion_Logistica,6,F1,0.04981490000500344,0.3274371317802218,0.3287348432852894,0.2441860465116279,0.2,0.2198952879581152,105,0.3968253968253968,0.4032258064516129,0.4,186,0.34394904458598724,0.3829787234042553,0.3624161073825503,141,"{""model__class_weight"": ""balanced"", ""model__C"": 0.01}"
A,Regresion_Logistica,6,F2,0.056612200001836754,0.31206675113199217,0.3165323891245348,0.2556818181818182,0.3488372093023256,0.29508196721311475,129,0.3680555555555556,0.3680555555555556,0.3680555555555556,144,0.33035714285714285,0.23270440251572327,0.2730627306273063,159,"{""model__class_weight"": ""balanced"", ""model__C"": 0.01}"
A,Regresion_Logistica,6,F3,0.06989020000037272,0.34975246245926556,0.3566048045913817,0.37857142857142856,0.3706293706293706,0.3745583038869258,143,0.36312849162011174,0.4642857142857143,0.40752351097178685,140,0.30973451327433627,0.2348993288590604,0.26717557251908397,149,"{""model__class_weight"": ""balanced"", ""model__C"": 0.01}"
A,Regresion_Logistica,6,F4,0.08892999999807216,0.34185094048925396,0.35762371622731054,0.4148936170212766,0.5679611650485437,0.47950819672131145,206,0.3548387096774194,0.35106382978723405,0.35294117647058826,188,0.25925925925925924,0.15384615384615385,0.19310344827586207,182,"{""model__class_weight"": ""balanced"", ""model__C"": 0.01}"
A,Regresion_Logistica,7,F1,0.9990999000001466,0.31254762843253187,0.3134838927563704,0.22727272727272727,0.23809523809523808,0.23255813953488372,105,0.39285714285714285,0.3548387096774194,0.3728813559322034,186,0.3181818181818182,0.3475177304964539,0.33220338983050846,141,"{""model__class_weight"": null, ""model__C"": 100.0}"
A,Regresion_Logistica,7,F2,1.0146013000048697,0.3337635142152176,0.336375400191767,0.26857142857142857,0.3643410852713178,0.3092105263157895,129,0.37857142857142856,0.3680555555555556,0.3732394366197183,144,0.37606837606837606,0.27672955974842767,0.3188405797101449,159,"{""model__class_weight"": null, ""model__C"": 100.0}"
A,Regresion_Logistica,7,F3,1.3783317999914289,0.33317659376709435,0.33489463556577653,0.38461538461538464,0.34965034965034963,0.3663003663003663,143,0.34146341463414637,0.4,0.3684210526315789,140,0.2753623188405797,0.2550335570469799,0.26480836236933797,149,"{""model__class_weight"": null, ""model__C"": 100.0}"
A,Regresion_Logistica,7,F4,1.4860002000059467,0.36650785987108875,0.37017485716101706,0.4219409282700422,0.4854368932038835,0.45146726862302483,206,0.3645833333333333,0.3723404255319149,0.3684210526315789,188,0.3129251700680272,0.25274725274725274,0.2796352583586626,182,"{""model__class_weight"": null, ""model__C"": 100.0}"
A,Regresion_Logistica,8,F1,0.14722290000645444,0.3183782005793365,0.31976555435718096,0.24489795918367346,0.22857142857142856,0.23645320197044334,105,0.3815028901734104,0.3548387096774194,0.36768802228412256,186,0.32919254658385094,0.375886524822695,0.3509933774834437,141,"{""model__class_weight"": ""balanced"", ""model__C"": 0.3}"
A,Regresion_Logistica,8,F2,0.17721969999547582,0.31472286093595464,0.3183596606698844,0.25142857142857145,0.34108527131782945,0.2894736842105263,129,0.3776223776223776,0.375,0.37630662020905925,144,0.3333333333333333,0.2389937106918239,0.2783882783882784,159,"{""model__class_weight"": ""balanced"", ""model__C"": 0.3}"
A,Regresion_Logistica,8,F3,0.20775410000351258,0.34981986674817717,0.35379240446354543,0.3925925925925926,0.3706293706293706,0.381294964028777,143,0.35260115606936415,0.4357142857142857,0.38977635782747605,140,0.3064516129032258,0.2550335570469799,0.2783882783882784,149,"{""model__class_weight"": ""balanced"", ""model__C"": 0.3}"
A,Regresion_Logistica,8,F4,0.25378620000265073,0.3477314271068337,0.3547482091687834,0.41015625,0.5097087378640777,0.45454545454545453,206,0.3551912568306011,0.34574468085106386,0.3504043126684636,188,0.2773722627737226,0.2087912087912088,0.23824451410658307,182,"{""model__class_weight"": ""balanced"", ""model__C"": 0.3}"
A,Regresion_Logistica,9,F1,0.038480999995954335,0.3267165856327505,0.3275909402882636,0.25609756097560976,0.2,0.22459893048128343,105,0.39487179487179486,0.41397849462365593,0.4041994750656168,186,0.33548387096774196,0.36879432624113473,0.35135135135135137,141,"{""model__class_weight"": ""balanced"", ""model__C"": 0.003}"
A,Regresion_Logistica,9,F2,0.04503459999978077,0.3202891251719956,0.32654835616660977,0.27167630057803466,0.3643410852713178,0.31125827814569534,129,0.37333333333333335,0.3888888888888889,0.38095238095238093,144,0.3302752293577982,0.22641509433962265,0.26865671641791045,159,"{""model__class_weight"": ""balanced"", ""model__C"": 0.003}"
A,Regresion_Logistica,9,F3,0.053348699992056936,0.3649345877706119,0.3701654050647339,0.3783783783783784,0.3916083916083916,0.3848797250859107,143,0.38095238095238093,0.45714285714285713,0.4155844155844156,140,0.33620689655172414,0.26174496644295303,0.2943396226415094,149,"{""model__class_weight"": ""balanced"", ""model__C"": 0.003}"
A,Regresion_Logistica,9,F4,0.060287999993306585,0.35445224002254877,0.3711503844224357,0.4295774647887324,0.5922330097087378,0.49795918367346936,206,0.3489583333333333,0.35638297872340424,0.3526315789473684,188,0.3,0.16483516483516483,0.2127659574468085,182,"{""model__class_weight"": ""balanced"", ""model__C"": 0.003}"
A,Regresion_Logistica,10,F1,0.055538100001285784,0.3140370598043631,0.31543833273414607,0.23853211009174313,0.24761904761904763,0.24299065420560748,105,0.3878787878787879,0.34408602150537637,0.3646723646723647,186,0.31645569620253167,0.3546099290780142,0.33444816053511706,141,"{""model__class_weight"": null, ""model__C"": 0.01}"
A,Regresion_Logistica,10,F2,0.05879039999854285,0.30619499457013566,0.3127762745193636,0.25139664804469275,0.3488372093023256,0.2922077922077922,129,0.3691275167785235,0.3819444444444444,0.37542662116040953,144,0.3173076923076923,0.20754716981132076,0.2509505703422053,159,"{""model__class_weight"": null, ""model__C"": 0.01}"
A,Regresion_Logistica,10,F3,0.0789126000017859,0.3477676980842492,0.3541799363947015,0.375,0.35664335664335667,0.3655913978494624,143,0.35911602209944754,0.4642857142857143,0.40498442367601245,140,0.3130434782608696,0.24161073825503357,0.2727272727272727,149,"{""model__class_weight"": null, ""model__C"": 0.01}"
