fase,modelo,config_id,macro_f1_cv_mean,macro_f1_cv_std,balanced_accuracy_cv_mean,recall_alta_cv_mean,seconds,params
A,Random_Forest,11,0.34051852720040976,0.02928909853564142,0.344443449012034,0.30049079016114466,8.62439519999316,"{""n_estimators"": 1000, ""min_samples_split"": 4, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""max_depth"": 24, ""class_weight"": ""balanced"", ""bootstrap"": true}"
A,Random_Forest,27,0.3403445858449037,0.03766444974193946,0.3419504228263035,0.2996731611881759,13.52107510001224,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": null, ""class_weight"": ""balanced_subsample"", ""bootstrap"": true}"
A,Random_Forest,26,0.3399688135696099,0.03148650926451837,0.3445973012899498,0.26520724139261054,10.653797400009353,"{""n_estimators"": 700, ""min_samples_split"": 6, ""min_samples_leaf"": 1, ""max_features"": 0.25, ""max_depth"": 8, ""class_weight"": ""balanced"", ""bootstrap"": true}"
A,Random_Forest,20,0.3389127328781439,0.016338144488059415,0.3409279360741974,0.30457933915260627,3.294449100008933,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": 20, ""class_weight"": ""balanced_subsample"", ""bootstrap"": true}"
A,Random_Forest,6,0.33887672304869226,0.023715462878012534,0.34057680939891855,0.3120318099150793,43.61215269999229,"{""n_estimators"": 1000, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": null, ""class_weight"": ""balanced_subsample"", ""bootstrap"": true}"
A,Random_Forest,16,0.338396897498127,0.04041451518589491,0.342542648796179,0.26579525501968493,31.37961570000334,"{""n_estimators"": 1000, ""min_samples_split"": 6, ""min_samples_leaf"": 1, ""max_features"": 0.6, ""max_depth"": 8, ""class_weight"": ""balanced_subsample"", ""bootstrap"": true}"
A,Random_Forest,8,0.33822010197265606,0.022685074536126497,0.34247815686903055,0.30010040384842823,7.7038919999904465,"{""n_estimators"": 1000, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": 12, ""class_weight"": ""balanced"", ""bootstrap"": true}"
A,Random_Forest,23,0.3381527201896927,0.025349947440018145,0.3426155384028069,0.2883173028521866,2.375295499994536,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": 16, ""class_weight"": ""balanced"", ""bootstrap"": true}"
A,Random_Forest,12,0.3376207057549003,0.033584657062209526,0.3419489053828642,0.3044129912384598,6.999818500000401,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 8, ""max_features"": ""log2"", ""max_depth"": 32, ""class_weight"": ""balanced_subsample"", ""bootstrap"": true}"
A,Random_Forest,1,0.3362137245989968,0.025715236425145997,0.3379694358534546,0.30391612977975585,17.695826700000907,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_features"": 0.8, ""max_depth"": 24, ""class_weight"": null, ""bootstrap"": true}"
