amenaza_mes_t,Baja,Media,Alta
Baja,0.7014725568942436,0.2282463186077644,0.07028112449799197
Media,0.2535014005602241,0.453781512605042,0.2927170868347339
Alta,0.054901960784313725,0.28627450980392155,0.6588235294117647
