modelo,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,inference_seconds,fit_seconds
MLP,0.40900304706839163,0.4096438713638806,0.4742268041237113,0.45544554455445546,0.46464646464646464,202,0.41228070175438597,0.46534653465346537,0.4372093023255814,202,0.34415584415584416,0.3081395348837209,0.32515337423312884,172,0.0030445000011241063,0.526675700006308
SVM_RBF,0.3730497188404209,0.37383912809885644,0.41116751269035534,0.400990099009901,0.40601503759398494,202,0.4,0.43564356435643564,0.41706161137440756,202,0.3081761006289308,0.28488372093023256,0.29607250755287007,172,0.2063417000026675,6.920005499996478
Regresion_Logistica,0.36831044954949105,0.3688886330493515,0.4028436018957346,0.4207920792079208,0.4116222760290557,202,0.39705882352941174,0.400990099009901,0.39901477832512317,202,0.30434782608695654,0.28488372093023256,0.29429429429429427,172,0.003711600002134219,0.23898570000892505
Random_Forest,0.3537802476379226,0.3528858699823471,0.423728813559322,0.3712871287128713,0.39577836411609496,202,0.40186915887850466,0.42574257425742573,0.41346153846153844,202,0.24324324324324326,0.2616279069767442,0.25210084033613445,172,0.04969290000735782,3.5236403999879258
XGBoost,0.3300178866007295,0.33151047662905825,0.36619718309859156,0.25742574257425743,0.3023255813953488,202,0.413953488372093,0.4405940594059406,0.42685851318944845,202,0.2328767123287671,0.29651162790697677,0.2608695652173913,172,0.009936799993738532,1.0035347000084585
DummyClassifier,0.17309340188517566,0.3333333333333333,0.3506944444444444,1.0,0.519280205655527,202,0.0,0.0,0.0,202,0.0,0.0,0.0,172,0.0005292999994708225,
