modelo,macro_f1_cv_mean,macro_f1_cv_std
Persistencia,0.36956096583190984,0.03196940295998654
SVM_RBF,0.3494208771902981,0.014083069040803512
XGBoost,0.3447730094200359,0.021570293580647996
MLP,0.3438405045291786,0.030282781032202957
Random_Forest,0.3387375922751066,0.029582450912052742
Regresion_Logistica,0.3355699786085192,0.02169581970111952
Dummy,0.1550652519848876,0.016693197359406733
