modelo,macro_f1,balanced_accuracy,precision_alta,recall_alta,f1_alta,support_alta,precision_baja,recall_baja,f1_baja,support_baja,precision_media,recall_media,f1_media,support_media,inference_seconds,fit_seconds
Persistencia,0.4092073182130144,0.4090682324046358,0.485,0.4801980198019802,0.48258706467661694,202,0.4482758620689655,0.4504950495049505,0.44938271604938274,202,0.2947976878612717,0.29651162790697677,0.2956521739130435,172,0.0,
Random_Forest,0.40284964284964286,0.4051155115511551,0.4926829268292683,0.5,0.4963144963144963,202,0.43119266055045874,0.46534653465346537,0.44761904761904764,202,0.28104575163398693,0.25,0.26461538461538464,172,0.05002899999090005,3.427041000002646
MLP,0.39092129489011135,0.4076866989024484,0.4225352112676056,0.44554455445544555,0.43373493975903615,202,0.4489051094890511,0.6089108910891089,0.5168067226890757,202,0.3258426966292135,0.1686046511627907,0.2222222222222222,172,0.0021861999994143844,0.21005769999464974
Regresion_Logistica,0.3856456313779996,0.39183743955790923,0.42738589211618255,0.5099009900990099,0.4650112866817156,202,0.441747572815534,0.4504950495049505,0.44607843137254904,202,0.2868217054263566,0.21511627906976744,0.24584717607973422,172,0.0029694000113522634,0.12042099999962375
XGBoost,0.37233265557540546,0.37119118888633046,0.4472049689440994,0.3564356435643564,0.39669421487603307,202,0.41346153846153844,0.42574257425742573,0.4195121951219512,202,0.2753623188405797,0.3313953488372093,0.3007915567282322,172,0.014359199994942173,3.041896499998984
SVM_RBF,0.34816796924208465,0.3482231944124645,0.38349514563106796,0.3910891089108911,0.3872549019607843,202,0.39195979899497485,0.38613861386138615,0.38902743142144636,202,0.26900584795321636,0.26744186046511625,0.26822157434402333,172,0.20114119999925606,8.318208500000765
DummyClassifier,0.17309340188517566,0.3333333333333333,0.3506944444444444,1.0,0.519280205655527,202,0.0,0.0,0.0,202,0.0,0.0,0.0,172,5.990000499878079e-05,
