etapa,macro_f1,balanced_accuracy,recall_alta,n
CV temporal 1991-2017,0.7188163076158562,0.7180166367616077,0.7130872610184341,
Validación temporal 2018-2021,0.6894521803081833,0.6891958284619908,0.7028301886792453,576.0
Prueba temporal final 2022-2025,0.6879816879816879,0.6868868259818125,0.7488584474885844,576.0
Holdout espacial agregado 2018-2025,0.6376380243146967,0.6053541777071189,0.93,288.0
