modelo,macro_f1,balanced_accuracy,accuracy,recall_alta,f1_baja,f1_media,f1_alta
SVM_RBF,0.6879816879816879,0.6868868259818125,0.6996527777777778,0.7488584474885844,0.7948717948717948,0.5045045045045045,0.7645687645687645
Climatologia_zona_mes,0.6730130398135753,0.6733150993981255,0.6857638888888888,0.7077625570776256,0.7901234567901234,0.4819277108433735,0.7469879518072289
Persistencia,0.6228312612451221,0.6225431027822204,0.6388888888888888,0.7077625570776256,0.7448979591836735,0.4174454828660436,0.7061503416856492
Climatologia_mes,0.433965717074361,0.5179751060426953,0.5607638888888888,0.7671232876712328,0.6391752577319587,0.0,0.6627218934911243
Dummy_most_frequent,0.18364779874213835,0.3333333333333333,0.3802083333333333,1.0,0.0,0.0,0.5509433962264151
