modelo,macro_f1_cv_mean,macro_f1_cv_std,recall_alta_cv_mean
Persistencia,0.36956096583190984,0.03196940295998654,0.3496155421307826
XGBoost,0.35127734163161406,0.03330314970904147,0.284860142491662
Random_Forest,0.3506202046748965,0.014300952372890257,0.32572547870583546
SVM_RBF,0.3465062325988651,0.02477115767160985,0.2784401344121371
MLP,0.33856216345001966,0.02830314294437768,0.345561764945373
Regresion_Logistica,0.3356891365919147,0.012542184665988334,0.3567583973939811
Dummy,0.1550652519848876,0.016693197359406733,0.25
