zone_id,ciudad,period_start,target_period_start,target_amenaza,modelo,prediccion
babahoyo,Babahoyo,2017-12-01,2018-01-01,Baja,Regresion_Logistica,Media
babahoyo,Babahoyo,2018-01-01,2018-02-01,Media,Regresion_Logistica,Media
babahoyo,Babahoyo,2018-02-01,2018-03-01,Baja,Regresion_Logistica,Alta
babahoyo,Babahoyo,2018-03-01,2018-04-01,Media,Regresion_Logistica,Alta
babahoyo,Babahoyo,2018-04-01,2018-05-01,Alta,Regresion_Logistica,Alta
babahoyo,Babahoyo,2018-05-01,2018-06-01,Baja,Regresion_Logistica,Media
babahoyo,Babahoyo,2018-06-01,2018-07-01,Baja,Regresion_Logistica,Baja
babahoyo,Babahoyo,2018-07-01,2018-08-01,Media,Regresion_Logistica,Alta
babahoyo,Babahoyo,2018-08-01,2018-09-01,Baja,Regresion_Logistica,Media
babahoyo,Babahoyo,2018-09-01,2018-10-01,Baja,Regresion_Logistica,Alta
babahoyo,Babahoyo,2018-10-01,2018-11-01,Baja,Regresion_Logistica,Baja
babahoyo,Babahoyo,2018-11-01,2018-12-01,Alta,Regresion_Logistica,Media
babahoyo,Babahoyo,2018-12-01,2019-01-01,Alta,Regresion_Logistica,Media
babahoyo,Babahoyo,2019-01-01,2019-02-01,Media,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-02-01,2019-03-01,Alta,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-03-01,2019-04-01,Alta,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-04-01,2019-05-01,Alta,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-05-01,2019-06-01,Media,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-06-01,2019-07-01,Media,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-07-01,2019-08-01,Baja,Regresion_Logistica,Media
babahoyo,Babahoyo,2019-08-01,2019-09-01,Baja,Regresion_Logistica,Baja
babahoyo,Babahoyo,2019-09-01,2019-10-01,Media,Regresion_Logistica,Media
babahoyo,Babahoyo,2019-10-01,2019-11-01,Baja,Regresion_Logistica,Alta
babahoyo,Babahoyo,2019-11-01,2019-12-01,Media,Regresion_Logistica,Media
babahoyo,Babahoyo,2019-12-01,2020-01-01,Baja,Regresion_Logistica,Media
babahoyo,Babahoyo,2020-01-01,2020-02-01,Media,Regresion_Logistica,Media
babahoyo,Babahoyo,2020-02-01,2020-03-01,Alta,Regresion_Logistica,Media
babahoyo,Babahoyo,2020-03-01,2020-04-01,Alta,Regresion_Logistica,Alta
babahoyo,Babahoyo,2020-04-01,2020-05-01,Baja,Regresion_Logistica,Alta
babahoyo,Babahoyo,2020-05-01,2020-06-01,Baja,Regresion_Logistica,Baja
babahoyo,Babahoyo,2020-06-01,2020-07-01,Baja,Regresion_Logistica,Baja
